Sector,Salary,Benefits,Employer,Job Title,Year,ID
Colleges,131895.52,760.97,Algonquin College,"Director, Information Technology Services/Chief Information Officer",2007,ae9d35e275b005f9ff78278a95f86304b8a81e6bf95aae2b176335c030b9bab2d049f0294fba5f9fbdf752a0df28334598ef4d10e93250644aeb5b460fc466d7
Colleges,111736.56,650.84,Algonquin College,"Chair, Allied Health Programs",2007,6cb809e63636c2f6c48c9793365edbbed3eb91ad712964fa70429390bddb4a728e3c3a094efe1be31313ce0b6a1a5e7d97c961c19f28356412ff1f6071995012
Colleges,118839.63,693.74,Algonquin College,"Chair, Health & Community Studies Department",2007,46a98291694c6472cd86a0d1fdd7f8a9e0f65037b18b887c92540b392b811cb880d82a8b8fb18d01575eec2e6b0c3193818a4fe1fc55c81454128a0490e200c6
Colleges,152607.8,888.56,Algonquin College,"Executive Dean, Faculty of Health, Public Safety & Community Studies",2007,61f7eab27917d17b690547c32ed60773c3d57a2ff5684ed79b588e86d021539990e5d3b94521b0997e1ed5c3c2c37a2676cf4bbf4fc152f6d2a5b3ef64f51229
Colleges,111736.56,650.84,Algonquin College,"Chair, Architecture/Civil/Geographic Information Systems Department",2007,47a3f4c96804c621fd6747229cf6feb7856efadc72b68e147a5c949a3579500fecc465ab5159e7de2e207e53b143a8add1bf01400e73e56fb3569e7bbf4ade85
Colleges,103352.3,178.23,Algonquin College,"Manager, Community & Student Affairs",2007,e906c89ddfa7abd0f2ad9ebd64b90ecbc095c5eeacb559c8522205f4569c33c4c37ac29180d0f296f406c3c85436160b7ade61b4397209fc0dc1a89ffe397047
Colleges,104232.33,207.42,Algonquin College,Professor,2007,d56910262490ae38d474c9bcba9596e595a4d0c8e02259e8c7e6d8f13e51bf2ba585838c0bc946ba4ea95005700fb8cd19186f834294d2edb72f0bb4e6edcee2
Colleges,110643.75,638.1,Algonquin College,"Chair, Police & Public Safety Institute",2007,560a6051cdb7730f89e40fa77c83867c261b0d4d48086bebc1d6fdf3e340ce767469fe2af5ad04e21659b71dc63bc3c784442d18408d9530c49793c218948f75
Colleges,119386.02,697.69,Algonquin College,"Executive Dean, Faculty of Technology & Trades",2007,17d972dd88a9bfaa5d7afe648152b83abf73146d64f4ecbbc82fe9f0dac41866f96cc564878fad58923e782ef92ada079fa3c1a1d1da1477c8b2010f78eaef76
Colleges,124796.02,550.13,Algonquin College,"Director, Institutional Research & Planning",2007,b6c82f60c30e57f743136e4a328d75bbe9be7d99af8bfde94c350a55115343ccf8062665ceab591b26a26571b014ebc8e2f4e58e5cf210f7f12958c4d7b47256
Colleges,110643.75,489.47,Algonquin College,"Chair, Language Institute",2007,cadafb2590aa5b1152b1b406a8cac93ef1052b253ccde1dc088b9b09d1b4d78db9b791d253f770f92175d8fe19c2b8bc2ecfc44ab66597ef5dbd65b6ccacd4ab
Colleges,119560.85,690.39,Algonquin College,"Chair, Design Studies",2007,7c7513b5f364505ea7e0c47a0ce6e4d433487fe20e2c122c759cb19f95d59926686014f93474cd6a196126bf00d7120f30532d43a71b75b3892efba62cae3db7
Colleges,124796.02,718.07,Algonquin College,"Director, Marketing & College Enrolment",2007,4e3dd43f702d9315567e93c8024cbc43d336c83adf6ca0dfb2eafdb36d18ee02f775462fd0b368de233ee5d4ce678d742128b69e4cb8a0f5817f6e269fdacfd9
Colleges,124255.31,626.38,Algonquin College,"General Manager, Food Service Operations",2007,35d2ec060de7a1a0da9915ed06469c0e92fe481eab23e669051ed5cff7224486ea8e831193ee2796d8a48c1dacc421ae82ba2435a0140e471bce1c9160f29a90
Colleges,135445.27,782.35,Algonquin College,"Dean, Algonquin College In The Ottawa Valley, Pembroke",2007,ffa61bd358c4aef9801b6b18431dea2b0c40c28b67b8f91775458586c1b55f28c779948e159bc32f05d3f74336d9c00a83fd2ac98d3f6fca10da0eb400f13156
Colleges,142179.05,633.61,Algonquin College,"Executive Dean, Academic Development",2007,bf8085b73af101222690c4b0b4c8001f8b2dc012386552676b7e9e060b5c7ab66d59de8fae141a58229f7888b5eeca88e2b76418419c7a2f50c892be64833d05
Colleges,130948.76,227.67,Algonquin College,"Executive Director, Advancement Division",2007,42ad7be4b877e13633cb1aab72e10a2e647c91d7b0a4725c410cd449064090e70e0648da8afc4a8cb87102f0f552c5e0e6ba6462639b782136571d039f6d900c
Colleges,113689.88,561.85,Algonquin College,"Assistant General Manager, Food Service Operations",2007,7cf03a186584784e4f633282dacf010e072a3e4e02ca6197017322a93a171da15cfb5c126f068a6e27652e74ad2b9d20347751069c1875a719bea5b2d1d3a789
