Sector,Salary,Benefits,Employer,Job Title,Year,ID
OTHER PUBLIC SECTOR EMPLOYERS,194890.4,711.24,Addiction Research Foundation,President & CEO,1996,6c4c1a52b975ae0ec94f217695bd7d1450aa5621a1785a29eb223ccd590127bd49cccf7f9b98dd5f6108c92787b3bca6e8e5c29270fc1dbc823851e91faed819
OTHER PUBLIC SECTOR EMPLOYERS,115603.62,403.41,Addiction Research Foundation,"Dir., Soc. Eval. Research & Act. Dir., Clin. Research",1996,54316ce588a3071913e230342386650b06ef2ea1684c554a5c24d9bc7a721aefa7936642aec44ee8ae2cd00e5428064b47b8d0a9e13f2a305999ba015eb41db9
OTHER PUBLIC SECTOR EMPLOYERS,149434.48,512.58,Addiction Research Foundation,"V.P., Research & Coordinator, Intern. Programs",1996,6ba40a3c2dd73d231ad3e8a05f209970ff9dd178fd157db7ce98215e633f47d90b58db4b4d5ad79a15bf784ac77b31840ac505e3b005eb755ebee548003bd5e1
ONTARIO PUBLIC SERVICE,109382.92,4921.68,"Agriculture,Food and Rural Affairs",Deputy Minister,1996,823547dea58ffb09f7cd5724f5d25b10435ebffc520b74c498f98705f9fa4075404598b0f707c773bf387ec6fa7718a490628d326c658fb11e1931fd5e7ef87a
HOSPITALS,110309.0,3157.0,Ajax and Pickering General Hospital,President & CEO,1996,2ddb50c7da39b58b68e6eef811166f9bd49494b8d65aeb6acddf016d3f69d8e97040845caf57c80ec4de7bae941e86efa67284a57daf889062afabc1ed9e8f02
COLLEGES,127332.0,3633.0,Algonquin College of Applied Arts and Technology,President,1996,c7bf9a29208c979c4b0e275e79fb69d2124c98b6eb0e8b5fa9dec36e58efa546f42b7d921ad18ef95dbf31cca406cc37a8e8743a974747849d1278f05f85150e
COLLEGES,102999.0,5557.0,Algonquin College of Applied Arts and Technology,"V.P., Academic",1996,6b88d55e1cd19ca9136fdcf894bc9d838c79c2effddd4aa53703559ef4e5aae42273322e7ca6207fb5b9a36e3c45990a37098e24532c4a38746b800a2d96cc97
COLLEGES,183482.0,878.0,Algonquin College of Applied Arts and Technology,Past President,1996,4ab79595ecfdd0ed85543c2d225698f91a61a40734016d1b8c11765bf3d1cc11ff0058798600175c5f3aca4877916428aa57d24b78daa06edda5c9fa654a7eb3
COLLEGES,106608.0,5586.0,Algonquin College of Applied Arts and Technology,"V.P., Finance & Administration",1996,b97a0cfd62c1caccd625741c0eb9cd3b47faa7ab6338dd4c6ffd7339421fba9166794b537a730efd2fc36fc71715e4f741a2f73500be74b3c1a862e8bde64162
OTHER PUBLIC SECTOR EMPLOYERS,134443.0,563.37,Almaguin Health Centre,Medical Doctor,1996,3dee0e169b43c72653bf2958a763d265c3fa080145b9c7e12229a309102e4f3f74a4c2d66f21dafdf38ec6a0e1114467bfdaaf1eea03c28a418ca14859a6e4dc
CROWN AGENCIES,225999.0,20935.0,Art Gallery of Ontario,Director,1996,f00dc8e287bb2a221f539cbfa696181f5accea5135bded1c59d2cf62e407677867b75a3609321ae59e9f5ef36dc683f85e7beea92b2827f3650f879e78047860
CROWN AGENCIES,117999.0,539.0,Art Gallery of Ontario,Director of Development,1996,ab4f046cd099b9d297e8f233b9cba184e7ce70dfd8beaa4b90b097bd644685f10163e39f77505d749d75f0be269227acf2ba52a9a2792e6f2485e4aa6cd3c441
CROWN AGENCIES,122389.0,6731.0,Art Gallery of Ontario,Chief Curator,1996,35a434f54c3b12eae9c01f35088e8fb85fc1b19f783678570ced6386d3e5a22444249b97b6a3b58b9d441a231e547381f10df7b09218d8dd0c8cda3c4e515df5
ONTARIO PUBLIC SERVICE,101972.97,293.88,Attorney General,Legal Counsel,1996,1270668696a99e04fb513b0234a041e317fc561927f8978c25eaadff26a55c780a679922217eead5a7db5dbb4f22e5a44cbc16a94d0bd14cad76e783bdbe34e7
ONTARIO PUBLIC SERVICE,104010.89,298.56,Attorney General,Legal Cousel Gen.,1996,0d75d155733c3e0f32fb2bef8b9b9b207c6b5036e6076d101d916fc2cd1f5bf2ce19123885796838a703d5d0164549d1253b21b4d96cbfde5a2bd2cbbd307ce6
ONTARIO PUBLIC SERVICE,119198.69,344.16,Attorney General,"Crown Atty, Simcoe",1996,27b64cca11f09b5f4ed167d24013644186a82b17f9a1a02c1eeb889991cb714a88f040018f7190a9756b3c6a57c004ab40837ffa282c5d26cff151e2a543d942
ONTARIO PUBLIC SERVICE,103580.6,298.56,Attorney General,Asst. Crown Attorney,1996,a2cd18f45e21fee657ef00c2cc21570244c52d1876640900e733e9b10366065c014d5e4beb9aa6ebd0c0a9006919476eb68da8f7bb17f56e46e2bc78005a26ca
ONTARIO PUBLIC SERVICE,103810.2,298.56,Attorney General,Asst. Crown Attorney,1996,837c79b93aee90d1526fc91cd200dab780915de4a4f5bc54718f15e6800c371e88b45e566c56f5b603fbea0a9ebfa1ade0ad46d5c4090086188577af14121b84
ONTARIO PUBLIC SERVICE,123825.0,0.0,Attorney General,"Provincial Judge, OCJ",1996,8d4dc8201e63f3de3f8df71eee44de81ce28c8df80e4bc05b6437815b2fde3ce08ef29a1d156631e5fc7249a3fa7dfe99f885ce9908bb8d37fc7af45272cf51f
ONTARIO PUBLIC SERVICE,123825.0,0.0,Attorney General,"Provincial Judge, OCJ",1996,faf5d695804170e1f34809b6c8d361060d549114d57944dc88a0fdb40eae6b044cd37338de19da5437302c7f906ff57e54da308b1553222c10ae8f7f5200c83c
ONTARIO PUBLIC SERVICE,115927.06,96.09,Attorney General,Investigator,1996,6b1380a1726115ae7ec8d12bf02f70da399f27655528493ab284af3b50fd70dc8377a36572581ca1385a2b6ce1750323b51184918cd4a9c769bd39b24388c10c
ONTARIO PUBLIC SERVICE,123825.0,0.0,Attorney General,"Provincial Judge, OCJ",1996,536c4651912fa748bd017978a17ae73d09a3692ad608bc629c72b73562b9e9c928ad2b9e62d218c281545e280127a89189bf2e1ca2dbb2538dd3053b5a90cc96
ONTARIO PUBLIC SERVICE,114462.12,330.0,Attorney General,Asst. Crown Attorney,1996,d13495ad5ca592c545f032bd0c0f536d5d452d3e8dcc1d1d05a8c0d224047b38d14f8b1d7116e4072759189fb001c96d38fb98881a00770a4a200b3fc911f3f0
ONTARIO PUBLIC SERVICE,103580.6,298.56,Attorney General,Asst. Crown Attorney,1996,a86de1165228bc07c042e2255ba983aab7b167ffabf38a924ab17211ef1c7be07c188462479954e3e4c19be13bac7167fd7a1aac53499092be61b7ac105de893
ONTARIO PUBLIC SERVICE,119396.75,344.16,Attorney General,Crown Attorney,1996,5a7b10fcfa1aa8bf6ab71ba52f2ab278860f18e5313cb950a3806d05a3e549f7049cfb06746753ad850dcbf4d8920dd743ee5e6610020a8caa1379c50d2abad1
ONTARIO PUBLIC SERVICE,125627.23,359.28,Attorney General,Asst. Crown Attorney,1996,99b9766467da1a5b10ebad478c6433cf8ed3ef7a8552a45093478e23cfb9a51cf064803db27c0930a82ae8a18b4beea14613b017c07e42f60220c3b578792db2
ONTARIO PUBLIC SERVICE,115752.41,332.46,Attorney General,Crown Attorney Middlesex,1996,56293641e5c4526464963532933da50c8557925e1e088fbc5ae453ff275e915b8e08807e459b002d85e393001019dbc02fe14100c82cdf1c706fed0171fe154a
ONTARIO PUBLIC SERVICE,103032.77,297.0,Attorney General,Crown Counsel,1996,d678313458a6e8455774620eadaa6334575dbe8187ec04606800380fb3751dde0f0ffdd8d701c332d7e5bd8aabe8380261918fc6f47da93b73e85607c38a2650
ONTARIO PUBLIC SERVICE,114462.12,330.0,Attorney General,Asst. Crown Attorney (Des),1996,29bc2913efaff38fa9edf2ae04f8a6e27ee310aa6ce54923da18126fa5f675ce75f657c64620afbb40e001e8c3afebeaea3329272322e66725d05406139b8aed
ONTARIO PUBLIC SERVICE,110931.07,319.68,Attorney General,Asst. Crown Attorney,1996,954b116d269cd191b5db56d83e070ff4ecd73bf19c2ed279d5ffdf3c6ca963266a2623aa9a2affa20ddc6e96bbf411401fd4acec72b282f7a0811280ba842ce5
ONTARIO PUBLIC SERVICE,123825.0,0.0,Attorney General,"Provincial Judge, OCJ",1996,2a18a6ef293148cdb21ff2d88d9af7df5a6b0a38cc7447192dfa29467ac9ff4d4011a733d21927aa6441a4246addc94a342d2f1aa7696b0d2f6c44996fba25ba
ONTARIO PUBLIC SERVICE,135619.12,4655.56,Attorney General,"Regional Senior Judge, OCJ",1996,0d9becfe0ac1ba2f4d86bfdaaa532d5625d543bee3f8bf210e021f547f8f7832beff5d208715ac55d6982a5e436da383d24969845f80e74a454c94d1894fc38c
ONTARIO PUBLIC SERVICE,123825.0,4250.74,Attorney General,"Provincial Judge, OCJ",1996,c72e63a3ee197c764bc1f54a3f37626542212b50bdf6cc6e02272c84b06c9f4f015471765a9d77fcf4197b8b45a0af57a48e07b701b4db7276f324cd7d70ddfc
ONTARIO PUBLIC SERVICE,108862.97,298.56,Attorney General,Dir. Legal Servs.,1996,809f369a7630a1c2c2e6986fda1e07d61015b112edf1d2acf1407eca94937af18de7ce33f5ba2e34dea52d989ea0e5d986c3f6e5a4e0966d85e8670a18c8b173
ONTARIO PUBLIC SERVICE,103580.6,298.56,Attorney General,"Counsel, Estates",1996,2eed1f1cceb4a1966f7807063019af2efbdd4fd8af0b58905569e2563015e6c75c259ea9459fced85338a00d71025dcbbbd042a89b687370b5e7e1f297b411be
ONTARIO PUBLIC SERVICE,119396.75,344.16,Attorney General,"Crown Attorney, Norfolk",1996,30027256a69c4016ee52e4707c6b204646628f4b21e17090492c6a2ca95db934e55dafdc2ae4f8514607af3ce7414f6b0c26730a30398c809836f41bf3f7ba51
ONTARIO PUBLIC SERVICE,123825.0,0.0,Attorney General,"Provincial Judge, OCJ",1996,10577fdcf75324f168ff6f688e0983c515eda9d52600efcf39078aed4d20c2667c4556be8f4cc10f15cb6ceda8fa03ab09e19febeab65edef586c88b9cba5122
ONTARIO PUBLIC SERVICE,106685.56,307.56,Attorney General,Asst. Crown Attorney,1996,4341639faf37bd1321e103d4787c248f7319636110070ae1a3c8cd4ff78e7811b420bb5abad5815f5df9a15007fbf891c5eb39e2b548928a359a3e4c31b3b31e
ONTARIO PUBLIC SERVICE,123825.0,0.0,Attorney General,"Provincial Judge, OCJ",1996,2002b841f2b8f0c647bc2c922c83ba74835765e6bd3d2bcb419fcded244baebbe1f175772971ca874c2b6d1cf7b0687dee06e9afec3ce60c412dbbfe89f34fea
ONTARIO PUBLIC SERVICE,113993.67,328.68,Attorney General,"Crown Attorney, Kent",1996,ac38fdeda1b3810a464b00dcc90bc73a78bfbba93d2a78a192c7b6161607bd0da48b443047ee4b430172441f9b245999b7a3cfe8b2c29487632c192eb5e8e442
ONTARIO PUBLIC SERVICE,123825.0,0.0,Attorney General,"Snr Provincial Judge, OCJ",1996,3933419160763865bfc434513a95fb4b792c6d01e98e33d3d4e2aa6b07207ab3e095963868d9828ca31a3007bbad9e2d0fb1a422d2788d488df2391b17439905
ONTARIO PUBLIC SERVICE,123825.0,0.0,Attorney General,"Snr Provincial Judge, OCJ",1996,7fb0f84d7c81621d97007b9860d044d7dbb7961c90fac05d9d7eeb2903f87d36f4b7388fb282aa2254f6d28496f3a29cb16b20ddf4978e365e43a9952ac13af7
ONTARIO PUBLIC SERVICE,106243.05,307.56,Attorney General,Legislative Counsel,1996,a7f5a1aa11e78bd1212da9853f5acc965718119af316eb8311d92b6eac4731285cea7095086a0075699f1cdc464f88c2b84992461c725a6676833f504827d8b5
