Sector,Salary Paid,Taxable Benefits,Employer,Job Title,Calendar Year,ID
Colleges,102185.98,114.48,Algonquin College,Professor,2013,4a85282f97b7af72354edb69fcd5bdc20af97ef44c95e34833eb48cadec4f245
Colleges,108564.6,371.78,Algonquin College,"Manager, Counselling and Testing Services",2013,dc3895344060baeb972fb433808574f120b09cad103e240850585399d6804e77
Colleges,102185.98,173.44,Algonquin College,Professor,2013,59c58e4fbd0e3e3710a0768b858bdda764713f0f2e5311fb2fd6224395461024
Colleges,103738.79,355.81,Algonquin College,"Manager, Client Support Services",2013,c37aeb15e303dfe69ba66bf4aedf4842c1baa12081355d19095a2e9dee33545a
Colleges,104255.25,114.48,Algonquin College,Professor,2013,66d1df510f26e8947f78f7a35bec8a45b81d4db980b57f0cfcad39e922069123
Colleges,104893.1,173.44,Algonquin College,Professor,2013,ccec62ee5adbbe031c672e0f4eeb0193fa36865e88b6a9c0be343b580a213496
Colleges,105873.73,114.48,Algonquin College,Professor,2013,6294e636a0d37b2bdc893accdf3b48565a25d214ef7f0b003c2c706955122ac3
Colleges,106387.65,173.44,Algonquin College,Professor,2013,003096955e14a52cd892bd12fc77335c32d28421b69aefe46f7a69fecf698373
Colleges,103416.76,354.81,Algonquin College,Training Consultant,2013,64b86d85753289642d0d1c24c8fc94c7bfe57309d548710d9fd657929be2eddc
Colleges,103896.58,154.0,Algonquin College,Professor,2013,767b57c0c00faba97a7f89dfc5228ccbb4a8d5141ad8792df94fa6dc14deba9a
Colleges,111747.51,114.48,Algonquin College,Professor,2013,74b69d0c6e824bc9327c273674a509cc88cfbf936fe3fea76c5cc22775ea783c
Colleges,138606.58,464.06,Algonquin College,"Dean, Academic Development",2013,47f1c28c87e2f6ef7dff9ec6da83019d706d49c0db64f72872c9b442b4c4bfc3
Colleges,118159.89,346.2,Algonquin College,"Chair, Health and Community Studies",2013,a46f1dcf6169763a1c898468f06552cc7f3d11da8a8c82e270a731547462d927
Colleges,104893.1,173.44,Algonquin College,Professor,2013,902cb5498c822bfbf4a20b42f7a0aec6473345eae04eaf7ed4c3abf81d3d02d3
Colleges,208430.52,621.45,Algonquin College,"Vice President, Human Resources",2013,2f60057ba84f3beb455ad02c3a1b05d9bba89d76b521d47e11f9aede6a0e05fb
Colleges,102185.98,114.48,Algonquin College,Professor,2013,9ef0e73be0523cb6d0090e15788bd23721328709aec3a26c0a8f9e0a690b6b2f
Colleges,106271.25,114.48,Algonquin College,Professor,2013,15ab264d9c1bd99e8f3a6c97c25fa42a232b6c1091a5f6ad949a0a10a706011d
Colleges,107600.22,173.44,Algonquin College,Professor,2013,b64af149dacc76a38e67e666e1121d34726a6697122000e866b43ecd2bae89e6
Colleges,103192.59,173.44,Algonquin College,Professor,2013,61748a73a0c72d285ddb1f30cb5f4d3d998e7c4be3010d72c48e1806d7a6c10b
Colleges,119323.87,0.0,Algonquin College,Embedded Energy Manager,2013,693c0f18064149be02113425100357be29057a5607ae48137542f7060ad2133e
Colleges,109340.1,376.15,Algonquin College,"Associate Director, Safety, Security and Emergency",2013,e763560383b09500d6533b167fd5e7b36ab119ad77be26beb6684e9074c4a77d
Colleges,111082.51,114.48,Algonquin College,Professor,2013,39bf3463fc2a7a74de36d688fe8f271496755bd736c2a9151187bdf68a0afd11
Colleges,102185.98,114.48,Algonquin College,Professor,2013,ce981d94f2ca0f817896f726dbf7ab50690827102546b4ac48860b0eff9b7275
