Sector,Salary,Benefits,Employer,Job Title,Year,ID
Colleges,102185.98,119.88,Algonquin College,Professor,2012,a2c7239f182728e4c80e3a449fc16bb4cd56542411c4e35c80146dbc06126e8d9a21dc1d5e3a5ab76d95f360d1decc31156cf0c03ccff299510d1384e4df86e0
Colleges,104656.6,335.15,Algonquin College,"Manager, Counselling and Testing Services",2012,b9f850d16598187c61c2ed6c07791e127ae50b6a445c3f5f1f825f93d676ccc875affdf9bcef4bf95e0b61b14957baeb1a1d949a2890cbb55d43a38e74f399a9
Colleges,103133.47,185.88,Algonquin College,Professor,2012,bae0bddf04348285d157fe5d163733c163ae906145036ad73083742bd48b19fadc00cf3acb929147dc150cb4d8b51970eb08cf7a968decd79ebd1da4f7c7f6c3
Colleges,104893.1,185.88,Algonquin College,Professor,2012,c6395d18a1139dfc1ac60768723217f0717c327a3d9187d2904f90fcf2416f028d92e1180a684d18d8bba2a37596e37893a5a992095ff55eb80193253de6a89c
Colleges,104140.79,119.88,Algonquin College,Professor,2012,71c200a737864b0f1f3dbf56dcaca55fae002e885f9fb9e38f33f01238d5f7237c447f32fa8f494198a1d3b945d4b34b965a076a42253dde6d6b6a6810932474
Colleges,104893.1,185.88,Algonquin College,Professor,2012,4f428305053eb6a3d0ab052d8e41e33568197e9f12f32a2e5d043297a80a1bbb875a63d8d2c9ac39a17c7acf04cf68ee0b91dd467357e5b48224611b538269f9
Colleges,102185.98,119.88,Algonquin College,Professor,2012,f6512753325e42ec9aef73417b68b07cb4bf0052f95e011300b20483a8ce53ae35f4d890a13ffc0d063ad6788e022da549c6698fa204fe7f0c1f28fd448bc6f8
Colleges,104573.33,185.88,Algonquin College,Professor,2012,7ca6b815eab4dfb323ad084b12d4ec6306d0aaa1009c504891e14dffa37a0e47200409800e4e5d849422d70d5e3fd65450e0b2d9f6a1762cd4331079a72fb7d1
Colleges,103539.54,185.88,Algonquin College,Professor,2012,46180c61360776e422c3254fec5158fd7e27bf9b6ccdb11efc5c71d6c7c0e2229ef3c25c960779f822161e1c5090dad6d66620791e7dbfa44c947083a1ca4b16
Colleges,108961.5,119.88,Algonquin College,Professor,2012,8950d5fb02d3ba818c9d348c732934b880d1962078008869bf6e3da37f53b0812a62abdd574ba5bb250cf3c0e706d021a6961f5110a5599e87a7e68677258aa0
Colleges,139301.88,445.83,Algonquin College,"Dean, Academic Development",2012,6cb809e63636c2f6c48c9793365edbbed3eb91ad712964fa70429390bddb4a728e3c3a094efe1be31313ce0b6a1a5e7d97c961c19f28356412ff1f6071995012
Colleges,102269.74,185.88,Algonquin College,Professor,2012,f076b6d54a57fc13f268658986966c83f053eb90e66d32f8855c1f462b79e462049adce9200e638f9d4bcbdb61bb54243964dd53021fbc2aa9b7c4644019c7e3
Colleges,118961.88,389.52,Algonquin College,"Chair, Health and Community Studies Department",2012,46a98291694c6472cd86a0d1fdd7f8a9e0f65037b18b887c92540b392b811cb880d82a8b8fb18d01575eec2e6b0c3193818a4fe1fc55c81454128a0490e200c6
Colleges,104893.1,185.88,Algonquin College,Professor,2012,ff9b780aec39b4e156bad8dfc66f4fb483468699069ad36db04993794d24f25cdcc9bc7e4e082cd175c6101a6f04cb105b30ad0a7fddf316730da17e69e2558b
Colleges,204434.22,585.94,Algonquin College,"Vice President, Human Resources",2012,000f476def2fcbb99a181afd77f0bb1385f36a7da928f5083c4ee3d34f539ed7fdec3ef574709bce42aad23f0c998d61bc8f85959b8d7628085ea4dee12c4c7b
Colleges,102216.63,119.88,Algonquin College,Professor,2012,04f1c4993e760959ab72176ceffb53b3481f14febf08c1d5ae56130f7f1167274746a776ba7c72c7cf92e8649afc70ac708c719f5f34b4f48dea970a5ceadfe5
Colleges,103611.47,119.88,Algonquin College,Professor,2012,e58d764e3cc4cd2d5bb695c7cb0019b7c666e2a99cee3b5b957aaf6f4c33ff9219b56bcc58fa98ba6379f73973cd3aba555f6a91a86cdcb2b9c6d5de1d4d77e3
Colleges,108381.94,185.88,Algonquin College,Professor,2012,f2b3d8139677a23782eb2e85760be32dc0a5742aaa56a51f592cd49545437ddb31b66fa0100a9664766220e524db1b992ede2b6688044a4986c47bac83789e55
Colleges,100506.36,185.88,Algonquin College,Professor,2012,0cee2c294c383d8c61a27bc391f2cfca5d90ba99e4c32d9a6eb0be5f1093d42920893133fb45d11750474885b5cd71f13900f35de1f5b4c4f849c9dde2020943
Colleges,108989.51,352.32,Algonquin College,"Associate Director, Safety, Security and Emergency Management",2012,28b28902304231f098cf61577427e8cee66f403844af0e234ff096e65a2cf0557b99b4f0d79624766ff8c1b462c9b9922d8cd92b994d14aaae676b8b09df28c2
Colleges,107152.06,163.88,Algonquin College,Professor,2012,e45c58d904c09c40577d136e13d80a6e6892c3ced1facf80808f51efd2067a0b5e2dfd2a4d00f4b7d0cb6396ae68dea5d0d75062f0584f499e39c3347e45a009
Colleges,102185.98,119.88,Algonquin College,Professor,2012,cc803961168a8002203fad4e741d32b047517e2ad6251469a7724a59c12ec8ba89b9da99befe1a25b1e35819452953207757afb3f29b93b2d42ff43522ee93b1
Colleges,113597.82,127.48,Algonquin College,"Manager, Community and Student Affairs",2012,e906c89ddfa7abd0f2ad9ebd64b90ecbc095c5eeacb559c8522205f4569c33c4c37ac29180d0f296f406c3c85436160b7ade61b4397209fc0dc1a89ffe397047
Colleges,107600.22,185.88,Algonquin College,Professor,2012,d56910262490ae38d474c9bcba9596e595a4d0c8e02259e8c7e6d8f13e51bf2ba585838c0bc946ba4ea95005700fb8cd19186f834294d2edb72f0bb4e6edcee2
Colleges,106609.82,185.88,Algonquin College,Professor,2012,f6b794af0aa532e5f5d0ede3915bf5dc0daa8cbc10f8aff9071f2d71d8fad2f0ed202a661e80f02d0f67d4701815f92aeefc30a141c4c17b6b890437c4b71976
Colleges,108219.8,349.32,Algonquin College,"General Manager, Food Service Operations",2012,45f6fecc6be65cfd50dc4d33a2613ea92d45fa2789fda03333015684af2614d77f9c53d7b3ad8850415488b7b75cb393100b05c142b91c13d368aab5f7b729f6
Colleges,118961.88,389.52,Algonquin College,"Chair, Police and Public Safety Institute",2012,560a6051cdb7730f89e40fa77c83867c261b0d4d48086bebc1d6fdf3e340ce767469fe2af5ad04e21659b71dc63bc3c784442d18408d9530c49793c218948f75
Colleges,184612.83,554.28,Algonquin College,"Vice President, Academic",2012,17d972dd88a9bfaa5d7afe648152b83abf73146d64f4ecbbc82fe9f0dac41866f96cc564878fad58923e782ef92ada079fa3c1a1d1da1477c8b2010f78eaef76
Colleges,110127.8,0.0,Algonquin College,"Project Manager, Applied Research and Development",2012,42c1ffc10c184058d3c2876e8b739fefb44e14e6623790784fd2eb3f90665e6c29cbd0bd49438b66488dc44f988e3d4bbd7e9068307dc1aa94dc6aa23aea2f4d
Colleges,104893.1,185.88,Algonquin College,Professor,2012,c6048f2a0c3a06dcba1db916c94bcb497d11fe92b318ff70924e1c8b2247f99b6c7b3514c36e3af7e4d192f90ff424dcf28c3dbf72390ac0907592ba32554333
Colleges,102185.98,185.88,Algonquin College,Professor,2012,bd3cec763cca4ec524071fdeeb0a8933387bcb7efb2a00b43b2bf8e817fac2f370a27fe5fafcf46e02ff932c36ec1772b4ec7ba2127ccc534004a390cb70d7f7
Colleges,102185.98,185.88,Algonquin College,Professor,2012,d39e515e3fd97dd3ecb197aadc28c8012888c37e5468634ee69acdc8855af7344b0932c266be39022c5fd357dac3e84a822d47b43c3907eb66b07ddd038c9f77
Colleges,102185.98,185.88,Algonquin College,Professor,2012,1df440bb0334a7ca4dbbb50b51f61dcd0fff01a4195f3de66f143e8c77e2e4add4a02b73c140332321f6f117cdb88656ac75cbbe9e087901d04880445821b699
Colleges,100454.5,185.88,Algonquin College,Professor,2012,1eb2cdc21dd99a57e36176c4bd224670317ede8e0d29e93df2b98bd18e05e7cc5c39e9b0cdc36ebe53476016055004bc9f55ac7186c0311e31d444764dd9cb4f
Colleges,102185.98,185.88,Algonquin College,Professor,2012,abe94da2b25ad8fa2dcb176ed8043f8c7c702fe7e9f7e1fb9f5b45601521577e5b36f8b9c525c1f91118213cfe8ba712ab85dd3650e0490b27da57aab77aa4bb
Colleges,103757.63,185.88,Algonquin College,Professor,2012,810f10150f533a36845bd6caa52da2225945ace53d4fa595967b4562c98cea23acb6f5e945d65eb2ea21a462ca8d71363409bf49d5669b7a854c1c1d2cc1f85f
Colleges,102185.98,185.88,Algonquin College,Professor,2012,daeb75c459c0d8475691706c5d95703cb06316684265dc839812363a17108f6c75148acea6844c15df587a506ebd72c0e96070c92f5d6cf9c36e971f771c8654
Colleges,105783.3,345.51,Algonquin College,Financial Services Manager,2012,6f65bd7161d99ecceba7fe71eee11609fdfd47778b42ca8da4f2c4519a045edb4db2fc7ef7354b1162310cdc5dd31232f82712dff9d7abbca1c69fbc9a224cbe
Colleges,105653.9,185.88,Algonquin College,Professor,2012,baa407207f3b226633b2fce9a55539efba4c0468730f9577cb6724780fd80d7a7f9282d046afad73cc539361aaad3d375a814bcbb3cfa161fd32a34e0d3e7a3d
Colleges,102185.98,185.88,Algonquin College,Professor,2012,d9ca94328e5cdbc3533a57eaddfb03d6cc486ff7523a0a4274c04e48acd47ea6eeddd064f12239117d16a0a3f6fac0703a0b87fcad0c2742514b0bf05a1c4542
Colleges,104893.1,185.88,Algonquin College,Counsellor,2012,1043defc3235116fec3fe3735dc1bb51421841ee5a8d0af1e3f469a72f46728f9c8eef1aba6b9681d1df86334ff2d5ac296b983e407066ed93d31dd46e764f40
Colleges,105022.14,185.88,Algonquin College,Professor,2012,d239cde8ff21a98e3ee666b97ccb5df6e6864400834e600c8f2192b1836d5aef1eca711039ec92fe3647cd7d6cd75f3277b6cacf2b566e1bbdc3408adaf735d2
Colleges,102185.98,185.88,Algonquin College,Professor,2012,bb2788d355cad078e6fed36f2ba37fb75ca94d7a10f00afdd62f1647513939e82b73810a24264c83b74ef17e76f3c08119dd055e8165e0c4cdff23c95a667345
Colleges,114154.18,119.88,Algonquin College,Counsellor,2012,3f00bd30047eeef49c5b95a6e225f5c9c1b2d4dc6b66ea2b9d5f46eb870983bec903d4e3ffe84345759c34ebb1daf085d68e908d45e846cbe8ecb81f1c287042
Colleges,100538.8,174.96,Algonquin College,Professor,2012,a01f71f2dc7456a83606c31f6d16b45c0d2fc4d197f7d8b760b99a2b961bf4570ae6ee156bf13204a30b13277f03b4059cb3ea8455feeae632ce826f489a7bff
Colleges,105129.24,185.88,Algonquin College,Professor,2012,8c9633d3544323975ab8de086a4d5b7d10b94ca269ee006e4cbb70deaffdf1d85cfc0adc39efeb08b65833220f42f2cee05a48678fdde9fa6a87b0b3d7cd8fe4
Colleges,102185.98,185.88,Algonquin College,Professor,2012,d4c3a324b6173ba527aa1929c3ae6201038440dbfd1688fda2f39084ed32b03594ca59fe6492f19a394cc096b545068e837605b36311d56bb1f38656cad9c6b1
Colleges,102185.98,163.88,Algonquin College,Professor,2012,e83a51dd3c27e1c8b9cfdb813354e1cfaa10679f46bc24299690668f1ef03d743b44a394c3935b78b0c3d0c775313fa21013f108ad65d2b6d7092a16b9711101
Colleges,102185.98,163.88,Algonquin College,Professor,2012,8f4c91947f44b0248470aab5750042b4efde076410b5e945e29e1258c453e5a6cb64a23b579c7a3562470972e5f3bc1a1eb4f825e3489367057786b040716a2a
Colleges,132722.98,437.41,Algonquin College,"Director, Strategic Programs and Services Planning",2012,4e3dd43f702d9315567e93c8024cbc43d336c83adf6ca0dfb2eafdb36d18ee02f775462fd0b368de233ee5d4ce678d742128b69e4cb8a0f5817f6e269fdacfd9
Colleges,126299.11,0.0,Algonquin College,Head of Major Construction,2012,624bd1706e4bdefc46d3bc6fc4cb3d9313c38ef3f774b7cea17f7be789ffe560c73d256bcf48505afd6d2457a1298b45804d1fe5c9e13d37e44c7107c588ca68
