Sector,Salary,Benefits,Employer,Job Title,Year,ID
Colleges,107089.79,138.69,Algonquin College,"Dean, Police & Public Safety Institute",2004,000f476def2fcbb99a181afd77f0bb1385f36a7da928f5083c4ee3d34f539ed7fdec3ef574709bce42aad23f0c998d61bc8f85959b8d7628085ea4dee12c4c7b
Colleges,111294.44,41.04,Algonquin College,"Dir., Information Tech. Srvcs.",2004,f0c12ef9913856cfc1906fe962bea4e63324503206d81eb6facb2b03d6ebdc7fb32056ec835dcaa0c62559619bf9c5a4820163572f3a9d09fe001edd8af3214b
Colleges,106718.45,134.7,Algonquin College,"Chair, Computer Studies",2004,17d972dd88a9bfaa5d7afe648152b83abf73146d64f4ecbbc82fe9f0dac41866f96cc564878fad58923e782ef92ada079fa3c1a1d1da1477c8b2010f78eaef76
Colleges,119677.73,0.0,Algonquin College,"Sr. Account, Exec.",2004,73c25d7f44a73e46c708d4e0633a56b001aafc66c577bf05181ba7ec5902e4bc88516a918619d67ca9bad2c2ab1ae6a048c216e8ffdd4745fc2a43a5df9d3897
Colleges,114386.18,67.87,Algonquin College,Professor,2004,32a7826b2c3a37f21149e0373a83560f0f6501159553b35f8988b39b0b1b6ff019c375a434fcc64459a6659412b27dc739b7c47af9323786bc26e631da9bfdb6
Colleges,119717.32,76.56,Algonquin College,"Dean, Sch. of Hlth. & Community Srvcs.",2004,30a8b8d77e1100f1cfc803793682ef534c04e266cb677f8681f40da961502d90a0eda4aa8417d6c3e46e335f4602e9533f062275355abc55fb326baea64bdd96
Colleges,107854.64,107.76,Algonquin College,"Dean, Algonq. Coll. in the Ottawa Valley",2004,bf8085b73af101222690c4b0b4c8001f8b2dc012386552676b7e9e060b5c7ab66d59de8fae141a58229f7888b5eeca88e2b76418419c7a2f50c892be64833d05
Colleges,127267.25,0.0,Algonquin College,"Senior Sales, Exec.",2004,5c508d2f8ddc8b5069820f5707123f4bc849bf383676ce472266bfb3cfc15c59950779a99f9291f562c16d42f7157c2becf7668ad742995e79cff7579935d894
Colleges,219135.71,19065.76,Algonquin College,President,2004,bc4a7f873d41ed2b9837a3dc70e365025653287ce3345ef13f06d5267a8ffff827c5915e6e6a4ee3086943b004d1f2e38748354b348d07d3dfb84060d5634a10
Colleges,153444.86,171.19,Algonquin College,"VP, Academic",2004,f784297f0a7250e2d98bb4166f3bda3e45d9f8f64cd21371698efa6b93a85dcae224f88cec2310b79563e07c0d54aef73b44c6870e8838b6b90563dc3a99bde9
Colleges,112898.12,67.87,Algonquin College,Professor,2004,73e50d008c13a48541ac580e5e8551523f77f89e0fce97ab1f17df6f4cf02d7f83845eeed39c4cd34443ec6f5c250bd8b85178e8da8eabe08811331d17716168
Colleges,103175.0,57.33,Algonquin College,"VP, Finance & Admin.",2004,a9bd1dd9ede8e1e87eb814dc59d351d0f5b775b54d7619be9a609dc34502218eb120c2076bb3d8058c9948a0bd76b0737ac31f38aba97ec48dae969fd804a7e4
Colleges,103651.51,92.48,Algonquin College,"Mgr., Strategic Planning",2004,8933c9f5bf36c24641cb1de419f8f02b40045a9e96427e701abe94b23ed72f157f0c7876f992dacfe5922e1a530468cd49c4498fb033cc731ff7ce6ee29b07fe
Colleges,115388.62,41.65,Algonquin College,"Dean, Perth Campus",2004,17c22444730534571e6d477eacf23925e24428dd0599c0f56b739bef8559e0eb76f4e0106a80e0192a27ac19cb1b00820ac8d411b1ccd1db98991fef2b218d52
Colleges,119538.42,150.24,Algonquin College,"Dean, Sch. of Bus/Exec. Dir., Bus. Dev.",2004,de49296a44e08022b249a8e0901a5772972ae27cca22867dafb4de3f2b6a0f611496ece53227dde0fa7ca671f3e64cde740565a0c179ac0f430775a5b88329f5
Colleges,106470.89,134.37,Algonquin College,"Dir., Learning & Tech. Srvcs.",2004,7e3d4f87e3743da335612ce383312dfc4eab9d18d3a06c30191c5c876575dc0d06895f5373c086d51ec1f5dad5aa122e023c0e460b54ef0a4243cbe837a06a63
Colleges,104381.59,100.57,Algonquin College,"Manager, Network & Infrastructure",2004,9be7330bd74c071eb571ecddefdaddfb331fd1f8fbb75260158e919b9ae6c6513254ff23d37230ccded5486c4be5524fd203925e0ed8294bb7421235c3609546
Colleges,103963.37,132.75,Algonquin College,"Chair, Marketing & Mgmt. Studies",2004,ad7b20a6dba2ad11681069454609782b4f8ad033e0bf0304fe0770df714f0877e4540350e6fd94c8c7b0ee57004c9950a7cae7348742a241ff5a3d4de5789075
Colleges,124749.5,157.44,Algonquin College,"Dean, Faculty, Arts, Media & Design",2004,a6a5ec0594ff432a9df87c0681189e2619fdb7507885a13f727ddd2ff4f8d7a57de2c7754118f5e617028e0a12efd8801f3eba836df6b5dbf9672bc4d8ee2f5b
Colleges,116533.14,98.88,Algonquin College,Professor,2004,3a754a588093ff9b6886e87d62c7e62d65d470fbc8b223d1316a6c2625e94e220912bd05e60e9ca14edf946c381229dfb3bb1111de6af9bbb8e54c2a35164633
Colleges,111813.45,0.0,Algonquin College,"Sr. Account, Exec.",2004,1435aa1d75432307a3db434b17703522a62eb0504136fce1b19f6889d0ece500b104cf225fb0ce88bfe33917ed7fb3e7d81ee980866bc51158fa997c3779c9d2
Colleges,133006.92,162.09,Algonquin College,"Dir., Educational Srvcs.",2004,9ec3219f40245d0b04c862920bd852a78dcd1410d6a341729ddc3ef9955370cb31c402b5e356780fc50db16a920384310357cc28e401d3d2b442bb71e5ea034b
Colleges,106483.34,134.37,Algonquin College,"Dir., Human Resources",2004,5c9d6dc52df170434dd58115d45671723c181dd861bd54f3c6ecd28bfdd2356fcde4a1abe52ebfa3e556baf1cc5ab5ef3eb73f05adf12e6a195e3d2f9b6b707e
Colleges,109301.73,141.33,Algonquin College,"Dean, School of Hospitality & Tourism",2004,0085d1aa1a1a623e39f3c11b3d5530d3816cc4b4999d13c570390adcd8fac00b1d76a880566288dbbe47291898c9d4d486f754ade73fb89ae0c2291b93005753
Colleges,103608.93,168.33,Algonquin College,"Dir., Learning Srvcs.",2004,064566e468de4c88d481a61cf8dcb2f70bfa1d98a7fe76f6f37367fcb8c9578eb9a383d029517c000198807194e74ff956de80d531a2974cd1de729ee4e22a36
Colleges,104893.37,63.35,Algonquin College,Professor,2004,adb44c14a1c4667ca5d8cfa30d1008a26552b932e67364cec658340bc38e5fd511cc1e4d81ce36c2091051d22c3d937e0624ed509c1892265b7412fb45cd44cd
Colleges,103403.95,104.01,Algonquin College,"Exec. Dir., Algonquin College Foundation",2004,7b433f403c75d6c54a713a22c19a07a5a767925a51ed67731a724c2677f9e7f91b4d9d0803fca11a2128ba41476082b9639ef5e635d763a16cd95c584953895a
Colleges,118143.34,41.88,Algonquin College,Registrar,2004,34517f093a9f13f705cb18ee2b9bf37bba4add7e9f7501003bc3188deab0bae2fceb5080b72a2beff1caf0420d41f212f22acde69ef539061cc3ba17961bc7d2
Colleges,116276.06,176.32,Algonquin College,"Dir., Physical Resources",2004,1cb0481815e7d923e9b35753da5453e82abf02ebbc06607a3b880acd14de06cbe534dfb5630e61da30fe57bcc84a5b41fcb3ef1748a610212a3bc3cbedd81801
Colleges,108286.92,140.87,Algonquin College,"Dir., Student Srvcs.",2004,78067da33b2ea4fa72f3bd29d226ce93a6f27d0343b39eee9bbb95976f40043a062bbc1b5d592453fc1560097aba87d9fc8b226f2abb13d26cd9b281bfa1d650
Colleges,108110.74,105.32,Algonquin College,"Dean, Sch. of Transp. & Bldg. Trades",2004,f4311e534b7d2679a2f943c8d1f4797dbf65bd5a57efb0f401616b47afd47259fc7918af78ede23deca10851590c4a033a6fab96a85a609f4b2192c3b0805556
Colleges,104069.52,131.53,Algonquin College,"Dir., Applied, Research & Development",2004,d0fd42bcb0bacf2bf043be7fe8dcc40f30cedca8ecc908310bc87d390added5640ede4298620b1c4de2f76990014a7497caba7f199a29726e5ae88fc53b4f20d
Colleges,127793.74,0.0,Algonquin College,"Dir., Sales &, Marketing",2004,deee7ff144ad47ab4b90842224ddee9881a59392342d281b12f0daca81baa63bc027e7cf493cf5fa1c0cea5c3f688b1f4537642de6ba4f9a24db2734f21e78ee
Colleges,116033.04,145.95,Algonquin College,"Dean, School of Advanced Tech.",2004,cfba087d721b3aab0180dc77ff1cf99daa7c0a5ee835d6659f555d6d5ae0e47c8752d902f1c8569a23550edd9c8cc5cb2e9fac10ae2bc61c04e6f7d410075874
Colleges,145585.22,170.77,Algonquin College,"VP, Student Life & Human Resources",2004,bed721cab1a77f920a153b726e2c1d7cae81c523a2d0323b810f788cba35cb22e9fb4f2fd6c3df30adb7a3a9bfd872b51225df5a5a79b3d09cb99ba9fbf98fdc
Colleges,185154.89,6294.44,Cambrian College,President,2004,c670cfdb7805ffc1c7c04f4aa27d6d7470b2f1f4304cb92bb8ce3d2f3c4d54c061a05457be36b89c4788e4fc4a8938b182fca358ec1a81588d1977146df1c66a
Colleges,111532.84,252.25,Cambrian College,"Dean, Ctr. for Comm. & Workforce Dev.",2004,f4126cf360d02953d5cfdf045cd400bf6313dcc8b50b0eefd7ad2653807ce5430f7af131fc031b09bcf4e352d93de65e0a6e1811d9bba94db1dca257f84cc9ef
Colleges,127140.24,6157.93,Cambrian College,"VP, Academic",2004,b1e958c2066f346fd19b361fdf8dd7292c012e323e37a4b6d323568e01b038c51224e2ab9f9de9e29b550bb15176e01389c4660656c88e7b527c5a19412a2470
Colleges,102291.62,231.79,Cambrian College,"Dir., College Srvcs.",2004,48c8ceced36da825ae6bceb775e464bd3d921541745c051371b0ba8e2c451722b24863191aab9ff2e929e483c7ba00a7b94ae71563abf011d9dd397e36be37f1
Colleges,114828.96,4280.79,Cambrian College,"Exec Dir, Research, Tech & Adv. Learning",2004,2aacdab094fd6300abb21ac6b4e0080620199476903c18f97a6e7fc8f2ea599816920754fc97da31aedce68a3486e8bdd2c273c1b2a731aabe51ef6615570df6
Colleges,115155.19,6260.18,Cambrian College,"VP, Student Srvcs. & Strat. Initiatives",2004,b7f4b866ec9b798178d5e90670dd8db7bf8c1ce215f5886670936ff10a3f0002f6c3c6e77a39f8c27e666e26ce4ee5000218f99090f7e613986fc85cd081b1d9
Colleges,105497.57,240.8,Cambrian College,"Dean, School of Computer & Eng. Tech.",2004,be9c5ac000ac3e1c7b0762c4f7abab02532e90f212055950e9304fd140e3afab718cc740f3f345d903d2befd7dbe8bd60b59a6b761808da2d9e40d8d873e571e
Colleges,102291.62,231.79,Cambrian College,"Dir., Human Resources",2004,57edc1e8ce14fe09822b6d2fc669cdc2ed023c16ab5099139f7297408d3a00a6e41df43f764dc689afce7322aedc38807591b2577be860d769ca5cedcb1d7eee
Colleges,103523.53,129.45,Cambrian College,"Dean, Research & Advanced Learning",2004,9eb40671ceca4f63a99acdc6d99329826263f2e4bd5ebbbc89134e53e87e818fac1a182c2e6a8a269906b8c4d76debd92a892199ebbf9de5c544ee2a6530d3fe
