Sector,Salary,Benefits,Employer,Job Title,Year,ID
Crown Agencies,108982.53,14679.09,Agricorp,"Executive Director, Business Development",2006,f129c87ae7de7416c9f74a3e0fd8a196abffc635fd3195f4dd1c4e14bcc8290e783b81a8ed60f33fd40b43ebce363b47180fcb17ecbcec89317fbf8a9c08c9b7
Crown Agencies,110895.04,424.54,Agricorp,"Director, Human Resources",2006,57a357f1ae3ec3eb1310a9160d1a8759160426c49a1624310aba5bd42f19f71c6d66f017c0059fd56cc627dd8f293d32bb7e187a3cf97ee8c2375adcc912b2bc
Crown Agencies,107843.92,6422.84,Agricorp,"Director, Information Technology",2006,3cab69cc26136268a648b5d1954dcfd2ffb0065ba4ca5baf7f852c0aa2d5516b6fca544ca5167b76c3c556c9bfc241e300a24d7b5b98b91b720190b6a8599490
Crown Agencies,163357.45,9089.1,Agricorp,Chef Executive Officer,2006,a2ff4190beacd6224ddf3c869f2c61648d3bec13c173aa35b36a3d946edf90edec052a324bc48d9c4642fed3466e3426428f9efde972dc93c24a9359cb134cf5
Crown Agencies,110629.35,430.18,Agricorp,"Director, Operations",2006,d052a21005dbaf20a03a00a81e082be9c560fe807c8bae87034ee18fd42397a4a60a7e9f8a59b7166657b274cc51c14b48dd660fd29eac6dccac5183edd00157
Crown Agencies,123332.69,6476.72,Agricorp,"Director, Corporate Services",2006,bb71b32823d657b16024d5f29636c2b3db2ec90e3abf48e723ff983f036ffac17515cd8d56f07864b885dd6d30f6e4c72c3b61bf597de20da9c9750622ae5b9b
Crown Agencies,102591.43,1150.98,Alcohol & Gaming Commission,"Manager, Network Services",2006,e85c37dcd7a6b7e4f4505dbe1042efc6244a4150b29ad7321ea93980bfb6e4f55e271e9ff0ab469d2af938e2c704930b4221672cd4e57722fff345b6fc968ea6
Crown Agencies,133648.31,9806.35,Alcohol & Gaming Commission,"Director, Audit & Gaming Compliance",2006,722fe57388c1fd918bf228f400b85ddf9c87e81cdd73f46e241d557941d5d146eef723566125618632c9ee31a5b59de5c0c83f5addb6c90bac1985de4bc755a4
Crown Agencies,208039.46,1834.89,Alcohol & Gaming Commission,"Director, Legal Services",2006,8b14598a19af67da922da13b7896681e677154c1c80f0893dafc1b771d7fdc6885c265e61ef06c51c5f4d8b0a1c8283bea9544c7027867ea996f6f7f180ed8b2
Crown Agencies,155217.96,1692.09,Alcohol & Gaming Commission,Legal Counsel,2006,83ea351ac9ddb75602ad06fe7172b3ed30e3591e4b4575227ee4a14f32f805f1abb2331aa6df276db20c7b1be49548e5734d92aaaf18f1004df399d2a7f68a74
Crown Agencies,135062.6,434.1,Alcohol & Gaming Commission,Chair,2006,fa107aa4966c0ce695730b46831c4fa8f78b67e1bee1f2e24b611cd17b8287671fcb638f74a212ba81e1d602d514fbe5aebf127965ddaed9428e91ec68a6c119
Crown Agencies,178206.26,11465.47,Alcohol & Gaming Commission,"Director, Electronic Gaming",2006,a66a27041879dd6921fe811b98bee7180a724b715eb1d6774c483e4533092de9da93c320c81a05b3636e390759e1ea467de2a076e274b99a390e79d20f0f9d6e
