Sector,Salary,Benefits,Employer,Job Title,Year,ID
Colleges,103293.85,159.68,Algonquin College,"Dean, School of Health & Community Srvcs",2002,30a8b8d77e1100f1cfc803793682ef534c04e266cb677f8681f40da961502d90a0eda4aa8417d6c3e46e335f4602e9533f062275355abc55fb326baea64bdd96
Colleges,109189.06,0.0,Algonquin College,Senior Sales Executive,2002,537cab6b3a7fb66f3e7962120062edd50e8143fa3c9f30bbd5212fe89f9c247ad958639356c70f7f746e6ca9780f187d80b528b65449fe090af9b3e2e0e592fb
Colleges,198917.04,18925.24,Algonquin College,President,2002,bc4a7f873d41ed2b9837a3dc70e365025653287ce3345ef13f06d5267a8ffff827c5915e6e6a4ee3086943b004d1f2e38748354b348d07d3dfb84060d5634a10
Colleges,102960.9,0.0,Algonquin College,"Manager, Customized Contracts",2002,7fd3bd806cd7385b75bcb7cb823658ab682f47ac8f23f69b304027182bdf3421270db79170261af5f8d126512cfe43ab8e2a1619481b9662b0acfdbc6b57498c
Colleges,155342.27,194.1,Algonquin College,"Vice-President, Finance & Admin.",2002,3dd661aed2df5774a382ad45ae1b90c08341a71b6fdf5c7c33f691a95b43daa4098d968bc9f869c73435e7ca19062c4af38a60a7b3cf4a96bc81f2885b6ba878
Colleges,147037.42,194.58,Algonquin College,"Vice-President, Academic",2002,f784297f0a7250e2d98bb4166f3bda3e45d9f8f64cd21371698efa6b93a85dcae224f88cec2310b79563e07c0d54aef73b44c6870e8838b6b90563dc3a99bde9
Colleges,104311.2,159.68,Algonquin College,"Director, Educational Services",2002,9ec3219f40245d0b04c862920bd852a78dcd1410d6a341729ddc3ef9955370cb31c402b5e356780fc50db16a920384310357cc28e401d3d2b442bb71e5ea034b
Colleges,107136.1,157.68,Algonquin College,"Director, Learning Services",2002,064566e468de4c88d481a61cf8dcb2f70bfa1d98a7fe76f6f37367fcb8c9578eb9a383d029517c000198807194e74ff956de80d531a2974cd1de729ee4e22a36
Colleges,103221.22,159.68,Algonquin College,"Director, Physical Resources",2002,f1a97a3326083f6d7b4e54421f43c79c9c17cc829f7d3dabfd8868167acafeaa4bd70c76843bcfc937b400b6c49fa4462dd257c5fe29ab4fa2c5b364c9b950cf
Colleges,112405.37,143.83,Algonquin College,"Dean, Media & Design",2002,f053d9a46c472a990907a20a27fbf1193ba19b8e77693cd9e2294adb3ca5f8d7e13045b27567d3da34a29737bc11761bd931a984bf337e1c55215324bd9da228
Colleges,105616.82,165.0,Algonquin College,"Director, Marketing",2002,aaa1d2a10927fb2b2d329ede816ffd055aa1e31c7e4e23822bcec34ce9c6321531bfff27fc406a71c0fe1a8af5fb1bc9b0c40eb44933a449a9203964300cb361
Colleges,103554.48,161.01,Algonquin College,"Dean, School of Advanced Technology",2002,cfba087d721b3aab0180dc77ff1cf99daa7c0a5ee835d6659f555d6d5ae0e47c8752d902f1c8569a23550edd9c8cc5cb2e9fac10ae2bc61c04e6f7d410075874
Colleges,118650.88,181.82,Algonquin College,"VP, Student Life & Human Resources",2002,bed721cab1a77f920a153b726e2c1d7cae81c523a2d0323b810f788cba35cb22e9fb4f2fd6c3df30adb7a3a9bfd872b51225df5a5a79b3d09cb99ba9fbf98fdc
Colleges,106028.41,179.7,Algonquin College,Academic,2002,41e9629a8d4724520143e971595fd0bbc5e93e38c367c974fa00c3b6e85ed5a2c1b5d5dc18928518eb76726aaa320a929879ba9db3279b454f2877bd58910ee3
Colleges,103588.69,175.56,Cambrian College,"Dean, School of Business",2002,f4126cf360d02953d5cfdf045cd400bf6313dcc8b50b0eefd7ad2653807ce5430f7af131fc031b09bcf4e352d93de65e0a6e1811d9bba94db1dca257f84cc9ef
Colleges,120333.66,193.2,Cambrian College,"VP, Academic",2002,f18d2c00dfe195f56134ad59759d20688e7c07d8d19ea9b0a0e791d1a420d8481f9e50e778174651cbcf63bab29a0baab06a3496629c96d0aeb0eb65d956df32
Colleges,127004.08,979.5,Cambrian College,Executive Director,2002,a76667c00da938bf091e51f50a9cca8bd6ea3766a6c90cca76e112a02265ab54834c3cea375271f97e4fa155abd1209b8bf21fac44795a8268bae560fa874d52
Colleges,106969.93,170.09,Cambrian College,"VP, Student Srvcs & Strategic Initiatives",2002,9952eefb26a2f5eda2a48b503dfca9296dac57e9ea678eb3d59f1aefa21ce1344f8a15d8ff679a7af7a800487e06ef38a3bd8b0186b1b6a6995e5972c3eac35b
Colleges,122879.3,1430.83,Cambrian College,"Executive Director, NORCAT",2002,6ab139b7ac54d4d9a783dc46a1e65d65dfb42d0dfdee88a96b6fa6b82ab66fa301729e622a93fc9775c6f6c06231251ecd2e7572e19b1c912429620b31890c4f
Colleges,116284.02,185.07,Cambrian College,"VP, Finance & Administration",2002,aaaa408512fd2b3d98da2e233e4bb2dcd1fe3150ea3bb41feef461adb787635a1d583c4ac98eb56a33d4afa90108e681302c9e5ef4d9877ce2582f3cc9904aa8
Colleges,101811.57,176.88,Canadore College,Vice President,2002,f5f383dc9b741410f134a46944e35a3e098aec0aa2b790c4216c17499b02b440a283f089d8b2ddfad7d2e7e82acc525b6af21b94bd91041b1570cc362da67f19
