Sector,Salary,Benefits,Employer,Job Title,Year,ID
Colleges,100892.35,162.85,Algonquin College,"Dean, School of Health & Comm. Studies",2001,30a8b8d77e1100f1cfc803793682ef534c04e266cb677f8681f40da961502d90a0eda4aa8417d6c3e46e335f4602e9533f062275355abc55fb326baea64bdd96
Colleges,187623.89,10430.37,Algonquin College,President,2001,bc4a7f873d41ed2b9837a3dc70e365025653287ce3345ef13f06d5267a8ffff827c5915e6e6a4ee3086943b004d1f2e38748354b348d07d3dfb84060d5634a10
Colleges,143139.95,224.02,Algonquin College,"VP, Finance & Admin.",2001,3dd661aed2df5774a382ad45ae1b90c08341a71b6fdf5c7c33f691a95b43daa4098d968bc9f869c73435e7ca19062c4af38a60a7b3cf4a96bc81f2885b6ba878
Colleges,123784.96,224.72,Algonquin College,"Vice President, Academic Services",2001,f784297f0a7250e2d98bb4166f3bda3e45d9f8f64cd21371698efa6b93a85dcae224f88cec2310b79563e07c0d54aef73b44c6870e8838b6b90563dc3a99bde9
Colleges,105082.2,192.17,Algonquin College,"Director, Educational Services",2001,9ec3219f40245d0b04c862920bd852a78dcd1410d6a341729ddc3ef9955370cb31c402b5e356780fc50db16a920384310357cc28e401d3d2b442bb71e5ea034b
Colleges,104616.92,199.02,Algonquin College,"Director, Marketing",2001,aaa1d2a10927fb2b2d329ede816ffd055aa1e31c7e4e23822bcec34ce9c6321531bfff27fc406a71c0fe1a8af5fb1bc9b0c40eb44933a449a9203964300cb361
Colleges,112227.79,203.76,Algonquin College,"VP, Student, Life & Human Resources",2001,bed721cab1a77f920a153b726e2c1d7cae81c523a2d0323b810f788cba35cb22e9fb4f2fd6c3df30adb7a3a9bfd872b51225df5a5a79b3d09cb99ba9fbf98fdc
Colleges,107193.96,1321.92,Brescia College,Principal,2001,632828f30dee40cd5681e9a58b205e6da75c9d7d247a2ca32643d2c5d23aa3794b6045a2218b58a53a62fba212efeaa07d1e77d40a1bccb89811245d3c1c65d9
Colleges,105796.51,187.19,Cambrian College,"VP, Strategic Development",2001,f18d2c00dfe195f56134ad59759d20688e7c07d8d19ea9b0a0e791d1a420d8481f9e50e778174651cbcf63bab29a0baab06a3496629c96d0aeb0eb65d956df32
Colleges,108348.86,212.15,Cambrian College,"VP, Academic",2001,2aacdab094fd6300abb21ac6b4e0080620199476903c18f97a6e7fc8f2ea599816920754fc97da31aedce68a3486e8bdd2c273c1b2a731aabe51ef6615570df6
Colleges,123412.08,1504.47,Cambrian College,"CEO, NORCAT",2001,6ab139b7ac54d4d9a783dc46a1e65d65dfb42d0dfdee88a96b6fa6b82ab66fa301729e622a93fc9775c6f6c06231251ecd2e7572e19b1c912429620b31890c4f
Colleges,184861.2,1864.21,Cambrian College,President,2001,0fd5a43ebeb45735350e89d0d02dc072176a016c6558902d6f6491e15e0c80f5c867ed3c20b32a035fecab9f7064f2b214060fb2aabd6ba5ac9631dd983c3fab
Colleges,152888.79,204.0,Canadore College,President,2001,61f4cfb672c0d7aa0aea9ca7c55c79cb617b624bcb7a80a09c57ec60fc3c7b82f4af205765ff78682d8a37360b9de0072c0b54a0ca7f9899b9367e53c79fb9df
