Sector,Salary,Benefits,Employer,Job Title,Year,ID
Colleges,101518.74,159.68,Algonquin College,"Director, Information Technology Srvcs",2003,f0c12ef9913856cfc1906fe962bea4e63324503206d81eb6facb2b03d6ebdc7fb32056ec835dcaa0c62559619bf9c5a4820163572f3a9d09fe001edd8af3214b
Colleges,102603.21,0.0,Algonquin College,Senior Account Executive,2003,73c25d7f44a73e46c708d4e0633a56b001aafc66c577bf05181ba7ec5902e4bc88516a918619d67ca9bad2c2ab1ae6a048c216e8ffdd4745fc2a43a5df9d3897
Colleges,106057.76,289.76,Algonquin College,"Dean, School of Health & Community Srvcs",2003,30a8b8d77e1100f1cfc803793682ef534c04e266cb677f8681f40da961502d90a0eda4aa8417d6c3e46e335f4602e9533f062275355abc55fb326baea64bdd96
Colleges,108217.26,181.89,Algonquin College,Academic,2003,ad04effb098393ab0428f78973117ee3624e2b298708a832857ec15caf47173bff72ab0922963eae52c2422bd9c4be137eb54c88bf219781445d170d80d4890f
Colleges,103459.99,181.89,Algonquin College,Academic,2003,d1efd83d01f50196ec108d4a0ed0f0c35571a58967daa956dd406618c3ce656ae026804f1051a5a663dc86e881c8820ab9117c657eaa9a355c44a2256f569df2
Colleges,201766.62,16069.83,Algonquin College,President,2003,bc4a7f873d41ed2b9837a3dc70e365025653287ce3345ef13f06d5267a8ffff827c5915e6e6a4ee3086943b004d1f2e38748354b348d07d3dfb84060d5634a10
Colleges,162300.03,579.96,Algonquin College,Vice-President Finance & Administration,2003,3dd661aed2df5774a382ad45ae1b90c08341a71b6fdf5c7c33f691a95b43daa4098d968bc9f869c73435e7ca19062c4af38a60a7b3cf4a96bc81f2885b6ba878
Colleges,137456.4,639.14,Algonquin College,Vice-President Academic,2003,f784297f0a7250e2d98bb4166f3bda3e45d9f8f64cd21371698efa6b93a85dcae224f88cec2310b79563e07c0d54aef73b44c6870e8838b6b90563dc3a99bde9
Colleges,102132.62,160.73,Algonquin College,Dean Perth Campus,2003,e9c72b4975ec0b2f990806d787b1a02c08ef5c6cae7d97fa2b667273df421ad3c44d7783c9bd4e2131f703f5d3254670656f0363db7c0523692f03c3dafe93e7
Colleges,100298.44,497.28,Algonquin College,"Director, Learning & Technology Services",2003,f29ec877ffa5d2445e245534c29d0641aada0a8c71fe5d09d6f84b8ba84e0646fc1749df50b4a0150e9b3d681cebac2999afa69441ae281a1dda64d77cced148
Colleges,108489.29,181.89,Algonquin College,Academic,2003,c997406f4f7f3e2db026054e1acfae44866eacb4fa18a6b08ebe3521e60f1b4ea18def75321d8500597607c8bc15d42492e0960376309e9959a3fd85df4762fd
Colleges,108606.11,556.25,Algonquin College,"Director, Educational Services",2003,9ec3219f40245d0b04c862920bd852a78dcd1410d6a341729ddc3ef9955370cb31c402b5e356780fc50db16a920384310357cc28e401d3d2b442bb71e5ea034b
Colleges,106246.78,554.27,Algonquin College,"Director, Learning Services",2003,064566e468de4c88d481a61cf8dcb2f70bfa1d98a7fe76f6f37367fcb8c9578eb9a383d029517c000198807194e74ff956de80d531a2974cd1de729ee4e22a36
Colleges,103244.72,154.28,Algonquin College,Registrar,2003,34517f093a9f13f705cb18ee2b9bf37bba4add7e9f7501003bc3188deab0bae2fceb5080b72a2beff1caf0420d41f212f22acde69ef539061cc3ba17961bc7d2
Colleges,105008.83,388.44,Algonquin College,"Director, Physical Resources",2003,f1a97a3326083f6d7b4e54421f43c79c9c17cc829f7d3dabfd8868167acafeaa4bd70c76843bcfc937b400b6c49fa4462dd257c5fe29ab4fa2c5b364c9b950cf
