Sector,Salary Paid,Taxable Benefits,Employer,Job Title,Calendar Year,ID
Colleges,"$135,053.28",$716.86,Algonquin College,"Director, Information Technology Services/Chief Information Officer",2008,de1e6938876717bb6d27c28a039430cb0a01e52f11cdbd8fd8666e275d4228f9
Colleges,"$128,836.81",$200.92,Algonquin College,Professor,2008,f88f9f530d38af617a53893c6bb6a39960cebef258122810069bbc18ae9dc96c
Colleges,"$125,064.36",$651.15,Algonquin College,"Executive Dean, Academic Development",2008,47f1c28c87e2f6ef7dff9ec6da83019d706d49c0db64f72872c9b442b4c4bfc3
Colleges,"$116,035.76",$609.98,Algonquin College,"Chair, Health & Community Studies Department",2008,a46f1dcf6169763a1c898468f06552cc7f3d11da8a8c82e270a731547462d927
Colleges,"$176,482.85",$887.80,Algonquin College,"Vice President, Human Resources",2008,703fda33306c9091204c3273e36222b34d45aeead21101cc04a0fd37d2311f4a
Colleges,"$102,327.70",$542.09,Algonquin College,"Chair, Business Sector",2008,f3aec023ffe6fdd05a00afcf2b90ca9ae9bc5d491781818840fac3a4f23ac1f9
Colleges,"$121,127.84",$300.92,Algonquin College,Professor,2008,f6ca017cb2c2b423fee995746a7965602ad53a89fe23547ecd6a00b1d4cf6abc
Colleges,"$110,279.06",$172.15,Algonquin College,"Manager, Community & Student Affairs",2008,d202f1f53efb1eb74bce5a62950600aa650c18e6f7b04c14d5367700491f49c1
Colleges,"$101,529.99",$115.83,Algonquin College,Professor,2008,7d5dd03cefaab79a28c2e15463583bf6b79b9ea00b9ffb79abbabb2b49a01d2e
Colleges,"$118,452.44",$630.53,Algonquin College,"Chair, Police & Public Safety Institute",2008,a1c276661fcc9e2b49c21aef7935cb428682fe1dc6995e5bdcbab00c43a6082e
Colleges,"$148,370.15",$782.63,Algonquin College,"Executive Dean, Faculty, Technology & Trades",2008,c39df12f919c0e151a8684f697b3687122950fb6f01d473a52344d6c959d1352
Colleges,"$129,795.16",$526.86,Algonquin College,"Director, Institutional Research & Planning",2008,b78d51576bcf2274fa7fc6b76b0bbb6cf5e4dc8907c172b2c82a9e166fafc1c0
Colleges,"$121,829.12",$496.54,Algonquin College,"Chair, Language Institute",2008,49e9e1d02c72ae8c226d3b5e703d656e8b745322e712ce4e807eea13829ab15a
Colleges,"$100,016.45",$200.92,Algonquin College,Professor,2008,c846324b113a74058ecc743fed5c88d4c72be9340f014d80a32ad7ff8577cbe0
Colleges,"$127,531.70",$672.78,Algonquin College,"Dean, Algonquin College Heritage Institute",2008,45ed0be35d1176fdf9dd1bcaed2fc8fd3b22622a578bb83113d725135824801e
