Sector,Salary Paid,Taxable Benefits,Employer,Job Title,Calendar Year,ID
Crown Agencies,"$108,982.53","$14,679.09",Agricorp,"Executive Director, Business Development",2006,dcc93931205cc930ddbfd45c89420346456e893dbee363da6ae7df5f4d1d1766
Crown Agencies,"$110,895.04",$424.54,Agricorp,"Director, Human Resources",2006,1d6445991139ffc6f51d255aff84b7cd15d908a94bce33a55b233e839b6b3e07
Crown Agencies,"$107,843.92","$6,422.84",Agricorp,"Director, Information Technology",2006,45b8ad61b2bd0efa42c81bc8333cdcadb85142d908251c092229344e3a73b379
Crown Agencies,"$163,357.45","$9,089.10",Agricorp,Chef Executive Officer,2006,eb14962d908953cd5a0c98b0b8aa4b4987ccd9ebab3b8f5739776295364125a8
Crown Agencies,"$110,629.35",$430.18,Agricorp,"Director, Operations",2006,96a638b604ed7cda061e9da7240dd10f15bdb5693d38c38c4a6fc6693c51a484
Crown Agencies,"$123,332.69","$6,476.72",Agricorp,"Director, Corporate Services",2006,705025b9a5e8fd09a92cc34fd779a128a6176b6d2b171acf8a97e69212ad8871
Crown Agencies,"$102,591.43","$1,150.98",Alcohol & Gaming Commission,"Manager, Network Services",2006,99630de05cd4bc8ece50ce2575a56cfe7dfa385f429230144bd44da9b64e7a60
Crown Agencies,"$133,648.31","$9,806.35",Alcohol & Gaming Commission,"Director, Audit & Gaming Compliance",2006,e54e0daa6e2298bee1b2f7fb35e744d6f4b346b4203401aac02bb77df6805283
Crown Agencies,"$208,039.46","$1,834.89",Alcohol & Gaming Commission,"Director, Legal Services",2006,f4fce4f6c41b8c72c6f91e617a6aca1d6dd6b4306328fbaee540d594b7286a60
Crown Agencies,"$155,217.96","$1,692.09",Alcohol & Gaming Commission,Legal Counsel,2006,41677715c7978edeb537c08784997454f5a0f782517b4bd71aecd538c6325893
Crown Agencies,"$135,062.60",$434.10,Alcohol & Gaming Commission,Chair,2006,67471b6038bc3904ac098366fe2f1107e691186235093dfd10ac848d68816065
Crown Agencies,"$178,206.26","$11,465.47",Alcohol & Gaming Commission,"Director, Electronic Gaming",2006,6a626a1a8948a3dfd07bfa5cf4cfca135538a50a8d833184a540e4c997e149cb
Crown Agencies,"$169,235.32",$0.00,Alcohol & Gaming Commission,"Director, Licensing & Registration",2006,db0592bd78511df8961e3857891690e607b82342c6c457f4a628c7f03a74b6ce
Crown Agencies,"$143,678.11","$1,602.23",Alcohol & Gaming Commission,"Deputy Director, Licensing & Registration",2006,20316b40a74bc76f86204f3729b35837fc216ea83bb57fde6cd7f212ea1a54ed
Crown Agencies,"$157,589.86","$1,705.15",Alcohol & Gaming Commission,"Director, Sector Liaison",2006,d91a80b8861f3a60620c96f315c0b2259ad55aacc356a16c76df9ee235d91a20
Crown Agencies,"$183,370.20","$1,957.16",Alcohol & Gaming Commission,"Deputy Director, Legal Services",2006,a4a0fcdd8951d5019c4d9e7124221a49fef938718b42bfe12fc045c87eb0d86b
Crown Agencies,"$131,952.39","$1,479.47",Alcohol & Gaming Commission,"Senior Manager, Human Resources",2006,46e632b247251a1610fba4972e9c4ac1a191ec8e33be9ce08b716f1cf95e0ef1
Crown Agencies,"$117,484.98","$1,303.98",Alcohol & Gaming Commission,"Senior Manager, Information Technology",2006,575e9fa34d15bed11bb4322a3b18cfd6786de47f5218b666c36bc95488e43988
Crown Agencies,"$233,214.69","$13,991.13",Alcohol & Gaming Commission,Chief Executive Officer,2006,2dc47ef3664aa9778ba63d2f533c2b1b775f94179e10b5ea81892faa83d8035c
Crown Agencies,"$113,159.51","$1,290.93",Alcohol & Gaming Commission,"Senior Manager, Sector Liaison",2006,6abdb8bfb13d789367d8e7ae823fb9922d6637c0234a910c9422589ac6047228
Crown Agencies,"$106,384.36","$1,198.49",Alcohol & Gaming Commission,"Senior Manager, Strategic Services/Projects",2006,b5be170a0d28c036521752601417dd7d708491af81eec1a58c4e37edd77657db
Crown Agencies,"$173,226.63","$1,958.60",Alcohol & Gaming Commission,Legal Counsel,2006,daab05083c9d4f50bcab3da22f40eaafc84f4493c360949030a371789c70a217
Crown Agencies,"$132,952.34","$1,479.47",Alcohol & Gaming Commission,"Senior Manager, Finance & Administration",2006,a350b4413cfaf972f21988772977d91656851ee927382c070d3652c7bda4390d
Crown Agencies,"$130,529.99","$1,463.26",Alcohol & Gaming Commission,Legal Counsel,2006,215162ac0ec219c827f18a5c1c394b8dee2a0a293d78e8c52cd42033650637b1
Crown Agencies,"$170,132.04","$1,859.73",Alcohol & Gaming Commission,"Director, Corporate Services",2006,4b5a264cdfb06f3b481414a09e90575fdbd81a54727636bdfb84fe24a61e2cdd
Crown Agencies,"$163,585.13","$1,953.27",Alcohol & Gaming Commission,Legal Counsel,2006,92a0cbd99a7a6d89d9daa5efd6012c292ad5c5d6e944565afc52530a196783a1
Crown Agencies,"$114,359.58",$196.06,Algonquin Forest Authority,General Manager,2006,8d967dd77ecc581e593020ec5d7dbdea9459a6d467cef6208d0083930b769cb9
Crown Agencies,"$146,099.68",$254.37,ARB/BON/OMB,"Chief Executive Officer, Assessment Review Board",2006,a462635442b169f7184d47b36927808c1baea8e971b89951f2608deae6f76b8f
Crown Agencies,"$122,486.35",$0.00,ARB/BON/OMB,"Chair, Ontario Municipal Board",2006,9591f1a1f1df10bc007d036e480ebacfde38c6550ac17bd8a634ee7f7d71f629
Crown Agencies,"$179,347.64",$290.95,ARB/BON/OMB,Counsel,2006,679bff365d2cbad139f044f2ac9dc33868af3531406462ffd3729884b174e56d
Crown Agencies,"$142,437.32",$238.19,ARB/BON/OMB,Counsel,2006,9ac7986891dda93f690988d35a60806371095056d51777c617bc6ea53154a64c
Crown Agencies,"$101,995.81",$184.32,ARB/BON/OMB,"Vice Chair, Ontario Municipal Board",2006,00875e09a66f4b8f86518475b6b33806ec24372460f3bd81fec29c9c6a4ef95c
Crown Agencies,"$122,486.35",$0.00,ARB/BON/OMB,"Chair, Assessment Review Board",2006,0409165953365f5276ee5326e56071770ff9f4c243f652ca828d48bd7959e298
Crown Agencies,"$183,381.17","$16,042.46",Cancer Care Ontario,"Provincial Vice President, Corporate Planning",2006,35e167c8a5991da406add5df512847d5fd6fc41d068d5a55a8653112ed38ab1d
Crown Agencies,"$118,631.70",$497.47,Cancer Care Ontario,Project Manager,2006,201b0081005d21eb30f15189c65bb395c2c9b515b70eab76969d4d6372248db2
Crown Agencies,"$118,805.95",$527.31,Cancer Care Ontario,"Director, Accountability & Risk Management",2006,272ddfd2f8718e06502b1ced2b14b24af621cbca263bfe3416dbce382f1d0ae8
Crown Agencies,"$101,135.99",$0.00,Cancer Care Ontario,Senior Consultant,2006,020076a8facedfb4701ee071f1d2e7024b6176bd0a4b715ee4614834ecb37423
Crown Agencies,"$113,003.80",$508.80,Cancer Care Ontario,Radiation Oncologist,2006,02c2bf3352850594a265408a54962a07f5da180cde83d3ac488cb2cde155fe66
Crown Agencies,"$120,488.99",$525.09,Cancer Care Ontario,Project Manager,2006,a173944d85be8fe547348636140f7f08c667dd9e3431923094ca70f123bf947f
Crown Agencies,"$186,287.82",$767.22,Cancer Care Ontario,"Director, Capital Planning",2006,a7bbaf131de20a7b6c8f2ca77446a7addb100e74c18326e3480e892bbd906090
Crown Agencies,"$108,948.80",$468.51,Cancer Care Ontario,"Manager, Information Technology",2006,725f3e24f123d65ea8a263a28f32a66e8baab07c789988eeca3410dc502aeb06
Crown Agencies,"$147,216.00",$661.86,Cancer Care Ontario,Senior Consultant,2006,43c12e5accc87f49e8644132c169ae883b93fee4a76413ecfd960aceba177152
Crown Agencies,"$124,116.00",$507.12,Cancer Care Ontario,"Manager, Information Technology",2006,6c4b47d0091ea071134cbeb6dc1c1d00c6d031d362ab913b55b3e57194aa7d33
Crown Agencies,"$113,593.79",$511.68,Cancer Care Ontario,Chief Nursing Officer,2006,c0aebbf84e13d884b195cd9ea437e6bb1da4616805b1d7b563fc1ae270b4587a
Crown Agencies,"$111,459.40",$0.00,Cancer Care Ontario,"Director, Cancer Quality Council of Ontario",2006,ee1b314dce4e0250f4282e9ec04a60c74fcdd09e5811061e4244000efc654775
Crown Agencies,"$175,625.30",$738.21,Cancer Care Ontario,"Director, Information Technology",2006,20e60a8c411b90e66831d4fd8ae087189255c5ffa8f62e2dc81a713347654db3
Crown Agencies,"$151,303.00",$680.34,Cancer Care Ontario,Senior Scientist,2006,38c105ec61524e2b629a61a56e91daa582d9e3a47654e78412d7b1756241658f
Crown Agencies,"$144,956.90","$9,803.42",Cancer Care Ontario,"Provincial Vice President, Public Affairs",2006,eac0144033824a2b193b9e73ab53687336ec6126e66220d45f967b8150dd4c18
Crown Agencies,"$102,896.00",$427.59,Cancer Care Ontario,Corporate Controller,2006,31e95eae9aa8690deca0754f32419b2b52a5c54d6f5c2fce73c7298ac4aaa904
Crown Agencies,"$331,076.39",$0.00,Cancer Care Ontario,Advisor to Ministry of Health and Long-Term Care Transformation Team/Wait Times Lead,2006,ae27c9b398c20529357935241ceb5aaedd886128df50bb1012680a190c8eb1b8
Crown Agencies,"$278,553.05","$22,274.28",Cancer Care Ontario,Provincial Vice President & Chief Information Officer,2006,5f18256fa6f4356ea4601caf4aad4e271a874bf2bb3a05567f41d5500c35e2f9
Crown Agencies,"$149,048.79",$670.77,Cancer Care Ontario,"Director, Preventive Oncology-Research",2006,03d1cbaa9d47af7520dbfa5cb482f19e01595e412d349406425a9e5e966431aa
Crown Agencies,"$313,193.99","$1,120.80",Cancer Care Ontario,"Advisor to Ministry of Health and Long-Term Care, Technology Assessment",2006,bfc262e5525d5691646fbe36ab09fc8b34583e1ba98b8cec5498899f2c0ce7a1
Crown Agencies,"$226,874.77","$1,019.94",Cancer Care Ontario,"Director, Preventive Oncology-Screening",2006,2a600bec494513b17d615b8aba20ad7c467134e8b9853b58f6d93e6eeb207bfd
Crown Agencies,"$119,359.80",$536.85,Cancer Care Ontario,"Director, Preventive Oncology-Surveillance",2006,bbb0553e658594244edd1a24ee68284e17e1c7b44e83c7a5a46229348b29b7be
Crown Agencies,"$116,151.98",$0.00,Cancer Care Ontario,"Director, Wait Times Information",2006,f7069a07c9eeac7859cc033a372f5789d8d77b74e9ca352eb8ce4ff949ca635d
Crown Agencies,"$194,609.16","$16,955.45",Cancer Care Ontario,"Provincial Vice President, Preventive Oncology",2006,11b20ba53fcd7c58f3ba1191a44c8221421c76a6c5c37dbf179ec55ee6087f98
Crown Agencies,"$123,796.04",$516.15,Cancer Care Ontario,"Director, Provincial Cancer Drug Reimbursement Program",2006,8983a1ed5310db470c5ae6d90b0e93dbb9d2c003b56d13ca712632af2f461b94
Crown Agencies,"$141,329.95",$598.56,Cancer Care Ontario,"Director, Informatics",2006,c35391a5c5b4daf6e6d8a7e94d0a52751d950243ecac00d38a44d7aba0caf781
Crown Agencies,"$126,417.00",$566.55,Cancer Care Ontario,"Architect, Senior Data",2006,34812f6406a6c6383366312e2b94bd2b04396678b8e130fb26d78a3b268cfd08
Crown Agencies,"$113,380.75",$508.83,Cancer Care Ontario,Internal Auditor,2006,e2d3871723b413cf5c81e67d377321554c38ae2ec7fc487d32096c231ea4ce57
Crown Agencies,"$105,612.46",$493.71,Cancer Care Ontario,"Director, Clinical Council",2006,83d09a4bbded696c23c35f97a1bb77edbea234d8defb86d32aa2d4ec05d0ea8f
Crown Agencies,"$242,535.61","$18,318.44",Cancer Care Ontario,Provincial Vice President & Chief Financial Officer,2006,97f5a57e05e56b74702d7bcf9d2f2a9124c63397cc4e4a2e47282ad96ab195d8
Crown Agencies,"$440,099.91","$34,982.41",Cancer Care Ontario,"Provincial Vice President, Clinical Programs",2006,c26925f5f48992a47d6401749076f1c75cbf9ad64f81ffc7206e8f3a0ea92db8
Crown Agencies,"$108,043.09",$388.92,Cancer Care Ontario,"Manager, Database",2006,78538a398e4d3e00f0cd13b1483122e4bb0aec110b62ce9b7ced094046f227eb
Crown Agencies,"$248,106.87","$22,504.68",Cancer Care Ontario,"Provincial Vice President, Regional Cancer Services",2006,5dda0f20883640e0d82a08894a8fd0db90cbf8cec23d81fb64b29e8058beb532
Crown Agencies,"$132,448.34",$555.00,Cancer Care Ontario,Radiologist-in-Chief,2006,2fef1ec5a02c65bed2c463b68f43ce36479bdd86e12462e47ee67413fd131c35
Crown Agencies,"$229,170.90","$17,993.43",Cancer Care Ontario,"Vice President, Corporate Affairs & General Counsel",2006,5ea075111e411fac704300660e543c0b0b72c0fe0ce8cf54e57b72362ecfb2ea
Crown Agencies,"$123,587.00",$513.84,Cancer Care Ontario,"Manager, Information Technology",2006,0be26a6734c194f9e9b7a34c9dd5600ac6ddca1d40f78d8c4527f460059f256e
Crown Agencies,"$506,930.20","$1,120.80",Cancer Care Ontario,President & Chief Executive Officer,2006,e524edd6deb93912aa24b04a9d905b24e3f463be542d8d66fcdd80e209baa7df
Crown Agencies,"$120,298.52",$374.16,Cancer Care Ontario,Technical Architect,2006,8c0e5cc3120f6cf2fff20856cc29fe0fed49e02d4b684dc3b58f904a3ce91644
Crown Agencies,"$155,543.80",$664.11,Cancer Care Ontario,"Director, Project Management Office",2006,177096520cdc6ad1e1d4ea01615504b8e912762e37bc119823853d6590c56be7
Crown Agencies,"$282,498.84","$1,120.80",Cancer Care Ontario,Clinical Program Leader - Radiation Therapy,2006,1d52eadc1947e8961f5593ef9f43ae570d64d599b50301828bc6f5a5ed241d89
Crown Agencies,"$108,280.04",$461.62,Cancer Care Ontario,"Manager, Development Services",2006,c22280cdb040c45a26453abe436bf069106619c4f9b07b2018f835e07496b73d
Crown Agencies,"$112,779.69",$0.00,Cancer Care Ontario,Manager - Nursing,2006,ace6e0f8ae70a6fce9c3ada2e12a3f66fd23ab50552894d763a82041d6479c57
Crown Agencies,"$164,096.02",$739.68,Cancer Care Ontario,Senior Scientist,2006,5c6243e88974cd8eb392a63077a8543459728b147c4720c67795c1cffa744dba
Crown Agencies,"$234,917.05",$67.50,Central East Local Health Integration Network,Chief Executive Officer,2006,fb4afd8ab81323a90bf06d48fa6dda78a3dd6d6ce97beac28d5418ec73957659
Crown Agencies,"$149,561.95",$684.08,Central East Local Health Integration Network,"Senior Director, Performance, Cantract and Allocation",2006,0a1defcb781262ad2b688c05e1f9acb236dcec8f99110ec9ec88b8787e0abcd0
Crown Agencies,"$129,807.75",$70.40,Central East Local Health Integration Network,"Senior Director, Planning",2006,4dd3018d8ff4d1ec9ae24841fa99cb8310c917bd68fe85d09e0d0fb704d15f13
Crown Agencies,"$134,615.50",$429.87,Central Health Integration Network,"Senior Director, Performance",2006,b865a6588d5a03084d112a94d737f6d258eb6f1f779fc8519cb631b737184763
Crown Agencies,"$215,297.46",$634.50,Central Health Integration Network,Chief Executive Officer,2006,b3b5eae274d6f20436e85a33b55c326dc0d14e4bf8193e3025ac7a34690a02bc
Crown Agencies,"$148,607.45",$432.80,Central Health Integration Network,"Senior Director, Planning",2006,557bcf8f31ff896679d1cbea1da31ace1b78b63bf705ea676bad4a8349d87a20
Crown Agencies,"$143,230.89",$67.85,Central West Health Integration Network,"Senior Director, Planning",2006,c3e51afd335198f65a18dc904f49b40a9eaf1e414cbbe0c33431d17d3fbb6ded
Crown Agencies,"$229,479.99",$634.50,Central West Health Integration Network,Chief Executive Officer,2006,e5220408e1a15722f9bbda196b8930389780a9b6f20b793a538b4da35ccb4142
Crown Agencies,"$142,571.13",$62.56,Central West Health Integration Network,"Senior Director, Performance",2006,6fe978a42f22fb3b2ab6548aec2810e7fa4a01a747902c6b60dc09d09edfcddc
Crown Agencies,"$107,493.91",$185.53,Criminal Injuries Compensation Board,"Chief Administrative Officer & Director, Transformation Project",2006,789a591bf9ea7fdd2dcaaa13b4b625194ebf830e9b3cedabd9c5ba7218d9fcfc
Crown Agencies,"$152,000.00","$8,691.00",Deposit Insurance Corporation of Ontario,"Vice President, Insurance & Risk Management",2006,dbf0a8e86c3b2100dd81f5853d96d64d2cf30b2c10c98451aed1a6d10468f975
Crown Agencies,"$117,446.00","$12,457.00",Deposit Insurance Corporation of Ontario,Chief Information Officer,2006,fd7c606c32182e7826686fcc2bb9b775fa18ab3b7da12d17de2ec3acb39a176d
Crown Agencies,"$106,500.00","$1,567.00",Deposit Insurance Corporation of Ontario,"Regional Manager, Insurance & Risk Management",2006,0dde4e4473deffbb0f24f73b249459c01d5bda59f199ae5a4f508985474400dd
Crown Agencies,"$103,938.00","$1,517.00",Deposit Insurance Corporation of Ontario,"Regional Manager, Insurance & Risk Management",2006,1ea7ea9588539b7810c8d4319dffe56edf55d42345794c9f986c7d765dd18d41
Crown Agencies,"$158,500.00","$9,446.00",Deposit Insurance Corporation of Ontario,"Vice President, Asset Management & Recoveries",2006,9b01adf4ffb0d7e7701235de6a5badc53e2a1c0c1786c7e7779c77819b8df057
Crown Agencies,"$105,438.00","$1,517.00",Deposit Insurance Corporation of Ontario,"Regional Manager, Insurance & Risk Management",2006,1cb8f63541e5bc4b3078d74f1baad638a64b1acde4110eaa70a06c49f0087871
Crown Agencies,"$137,662.00","$15,024.00",Deposit Insurance Corporation of Ontario,Chief Administrative & Financial Officer,2006,3851bf2620531a236e13442754fbcc46a6431c6317b4f2a56b72aab42962dddf
Crown Agencies,"$209,600.00","$6,355.00",Deposit Insurance Corporation of Ontario,President & Chief Executive Officer,2006,b1d4334ee684cadf72b65a42b25e35ebdf2d55a338dde3a2f94ae249709b6af8
Crown Agencies,"$105,438.00","$1,517.00",Deposit Insurance Corporation of Ontario,"Manager, Policy & Research",2006,5cd33e327ce53bbaf8a6344e56e638fab1af0c95559f0c08aae050ef13eab1c3
Crown Agencies,"$104,363.15",$180.18,Education Quality Accountability Office,Coordinator French Language Assessment,2006,c3200cb4ed8d58f1eaeee037a1cce701e4325b505d9e77c648b3604558b429de
Crown Agencies,"$101,113.64",$174.95,Education Quality Accountability Office,Program Manager,2006,3ef7559c973ee45d90a474609c9b504b25f5c6eda640ab1b5748bde79356a4ba
