Sector,Salary Paid,Taxable Benefits,Employer,Job Title,Calendar Year,ID
Colleges,"$126,843.08","$10,723.40",Algonquin College,President,1998,ddd4f9a47b358f1e9d2db06ea2d2abc4393ad3805bbea02bac57d58d188caf61
Colleges,"$109,742.68","$5,542.60",Algonquin College,"Vice President, Academic Services",1998,358e1907ab3a61fba58e2363136237938b993959fee41e88a1f43b2d67d0b802
Colleges,"$121,300.08",$227.04,Canadore College,President,1998,435e0e8fc13b9eb94d43c80c2d660a4530df85e1f88c712875bd08b1131d4c73
Colleges,"$108,741.12",$401.84,Centennial College,President,1998,9a7814ee0d6b553724fc128fb17a2c2543357682399a78fcefabf5b6a857f441
Colleges,"$102,496.12",$678.22,Centennial College,"Vice President, Academics",1998,31310a568c1e38df4c357530ee2cf3947bd0d81cf6922a56a46ac318d40ef742
Colleges,"$104,741.79",$496.96,College Boreal,Présidente,1998,de1320221ac4a364311b756b17063490f4103460d4f90ae1970358ea24a61809
Colleges,"$123,894.00","$14,211.00",Conestoga College,President,1998,73cc5296ab7e963dec41fba9c246632d91e2c760496ac897d42a50354ad0abcd
Colleges,"$122,688.58","$14,657.67",Confederation College,President,1998,033e856dcf19569a056f5a0ba6a0ee600b3d1142416b68588d877187d03e73d7
Colleges,"$104,856.15",$685.66,Confederation College,"Dean, Academic Programs",1998,0a5f64173551264e8dad32a711c4e775fd4e1e2dc299577daee817830b9c1342
Colleges,"$101,637.67","$5,302.70",Confederation College,"Dean, Business & Ventures",1998,4f07611afc312a1fddb2a84a6a2bd9ee7deb08f09f6df6fe14e0bf31736c2580
Colleges,"$103,489.03","$1,882.86",Confederation College,"Dean, Student & Human Services",1998,684fe21e061ef39c7a89e2529f65255ded84934935ff5778cbf9c948e64f89b4
Colleges,"$123,366.00","$30,412.00",Durham College,President,1998,2a08007c69b9c884fe60a236ba1d5a4b9a2f12eaa832e53ff2fd4622138d9995
Colleges,"$118,455.78",$823.32,Fanshawe College,President,1998,d6b5f7cf49d99a5c5b3bcc9ae756f893e2a02768a0dd42c2134bb8fccc81a7d8
Colleges,"$112,011.79",$719.26,George Brown College,"VP, Academic & Student Affairs",1998,57d1562647bb0d92918614342e9967b69d74c843ff8399b2d0dee4df36e8372a
Colleges,"$138,048.68","$8,169.68",George Brown College,President,1998,0d287d7d46f85ceb786c92cc75d7a8f794965b442f46d4b8fcec05edb6d84f6f
