Sector,Salary Paid,Taxable Benefits,Employer,Job Title,Calendar Year,ID
Colleges,"$101,518.74 ",$159.68 ,Algonquin College,"Director, Information Technology Srvcs",2003,2af224381faf0b20157a9dddc1078d842b97b36484d01558985325ba22842d23
Colleges,"$102,603.21 ",$0.00 ,Algonquin College,Senior Account Executive,2003,f1610005176fd7d3efa46d180ff0290a070f49be932b712f8b4cfe68dba6584b
Colleges,"$106,057.76 ",$289.76 ,Algonquin College,"Dean, School of Health & Community Srvcs",2003,770dda7eb36a71a6ed792e0a48e554b25cd43cfc69f631ee30da580060b01d42
Colleges,"$108,217.26 ",$181.89 ,Algonquin College,Academic,2003,22317c1196263d809c212716287e168a78df25ef58a33f785af5942e54efabeb
Colleges,"$103,459.99 ",$181.89 ,Algonquin College,Academic,2003,8577e0c9c6a63f75411be8df506b3a0f52b5c318c250fa96b04a18c0a50803ce
Colleges,"$201,766.62 ","$16,069.83 ",Algonquin College,President,2003,ddd4f9a47b358f1e9d2db06ea2d2abc4393ad3805bbea02bac57d58d188caf61
Colleges,"$162,300.03 ",$579.96 ,Algonquin College,Vice-President Finance & Administration,2003,d7efdeb5c2bd471a03f2cf0b6369307e4391ccf96e04d3dd571e44655cdb0fb5
Colleges,"$137,456.40 ",$639.14 ,Algonquin College,Vice-President Academic,2003,358e1907ab3a61fba58e2363136237938b993959fee41e88a1f43b2d67d0b802
Colleges,"$102,132.62 ",$160.73 ,Algonquin College,Dean Perth Campus,2003,ef62b0cf07e10605689486848f75a40ab87a531a01802bef654620a38fe6b3cd
Colleges,"$100,298.44 ",$497.28 ,Algonquin College,"Director, Learning & Technology Services",2003,8318c3f25aa5d3a3fcd3dfe16f2f93fb6f969869cde5a3c594d492c599682a74
Colleges,"$108,489.29 ",$181.89 ,Algonquin College,Academic,2003,2dbf14e829b17d876f71aaf5e24d028671fc073b06ed3463e2903eea62212eb4
Colleges,"$108,606.11 ",$556.25 ,Algonquin College,"Director, Educational Services",2003,5fd2a4a2501d3cc22011b610e90a74b0d7eccb8097362a5e36707622e1a2ecd3
Colleges,"$106,246.78 ",$554.27 ,Algonquin College,"Director, Learning Services",2003,5aabe1f71cffe69fe641f3061049275066c1fcbc73c1bd198d9327b690dd0dbc
Colleges,"$103,244.72 ",$154.28 ,Algonquin College,Registrar,2003,7837263bdc57bb3515759a5b2fe602cb1da9ee9f3f49f3c87ef4323ca0826b0b
Colleges,"$105,008.83 ",$388.44 ,Algonquin College,"Director, Physical Resources",2003,0208b0743ad8539d87fe74d2f37bd6f9ddaf01067b48897c5bd4edd4a1b33389
Colleges,"$120,971.21 ",$0.00 ,Algonquin College,"Director, International Education",2003,63f19435a48444d9ff9e40747fbf3dcecdca13d6f1d2d0c711aa249feb22cfa9
Colleges,"$102,978.49 ",$508.77 ,Algonquin College,"Director, Student Services",2003,4825639c85ddd102c4527ec9191628cc39a140d76078e5813473bf266a895aae
Colleges,"$107,460.75 ",$546.32 ,Algonquin College,"Director, Marketing",2003,6f1c3e6fb37da6f8c2e8a9ea472552c340d0d62fd7047557d0749da584e43a7a
Colleges,"$106,346.34 ",$540.11 ,Algonquin College,"Dean, School of Advanced Technology",2003,6c767cb013af9b781b0138e34407ae55987f087fe54cac2caf94131e989076a7
Colleges,"$134,304.60 ",$638.09 ,Algonquin College,Vice-President Student Life & H.R.,2003,936e82a34eeb9eb2c46ca86710392f8985de383588ea8a81ccd1ab3dc0121930
Colleges,"$171,755.23 ","$6,616.24 ",Cambrian College,President,2003,f4bd19a6796b7402eebab50db3d477c5d3cd9dbd0a8063b47d33e02065a23efd
Colleges,"$109,702.54 ",$560.98 ,Cambrian College,"Dean, Ctr. for Comm & Workforce Dev.",2003,2315b2290bab5a7d4b644cd5a3e6c49d241ada6f87053bd7cad2e46a342832bd
Colleges,"$116,310.23 ","$6,322.20 ",Cambrian College,"VP, Academic",2003,c94f212d4dd59bd3bc0183676e4b29f23935175f974a98b78335481b034aa7b4
Colleges,"$116,366.96 ","$6,627.27 ",Cambrian College,"Exec. Dir., Res., Sprt.& Adv. Learning",2003,0a69c02b55ec023c8281151af431e0e8698bbaf87785a6b5ed780cfbed40a982
Colleges,"$103,392.90 ","$6,557.59 ",Cambrian College,"VP, Student Srvcs & Strategic Init.",2003,fc5a4ea4177354653ec94d2a565cbf8bfeacbdb95922cfdbe38e32b871c88f72
Colleges,"$111,688.26 ","$6,603.89 ",Cambrian College,"VP, Finance & Administration",2003,db04ffc3aedec16c08552a133605d41d21121a6ea8c3d3c1c9e227ad2c3fedf2
Colleges,"$116,735.36 ",$471.88 ,Canadore College,"VP Administration, Board Secretary",2003,110dad23fd25a16e443bb5c88a9c6bbe269ab80cfbfa29ebb9833087fe46c0bc
Colleges,"$116,735.36 ",$547.76 ,Canadore College,"VP Technical Srvcs, Facilities Dev.",2003,5e5834098880b4518c1e7152f580c1f44c8f794e7ad60f6a8b2ba418c56a6657
Colleges,"$123,050.08 ",$631.00 ,Canadore College,VP Academic,2003,2da8c3e0ec88538e8cb389771edf71ef4682a515ce345003329e3387bd226101
Colleges,"$149,992.20 ",$537.48 ,Canadore College,President,2003,8a6904c4e35d395922bb3b0077d10dbe8a72b0c2094493c25c113d2ff43005e8
Colleges,"$112,133.97 ",$211.30 ,Centennial College,"Dean, Academic Initiative",2003,8feb1f6fe157241ae50f5de295d3e829820029f7366f58c2140c9913cd83ea30
Colleges,"$103,772.37 ",$270.67 ,Centennial College,Professor,2003,c4a9da6c47ea86183f1e8d4a21286cec803c723d5ae5ae33a73d7c07130eaf04
Colleges,"$140,596.48 ",$710.12 ,Centennial College,"VP, Student Services",2003,ba2552146f721e027f420abc9ab4d3c4a6758964070e000955d29aea448c9198
Colleges,"$103,805.34 ",$463.07 ,Centennial College,"Executive Director, Bibliocentre",2003,00ad4e290f51d60e2b70766ce24e18af31ff88bddb1ca610fbaca13777db0ad3
Colleges,"$177,038.71 ",$732.38 ,Centennial College,"Executive VP, Academic",2003,4b16e75f2b13264813b508ba674161febaa85fa4ac210bba5eb4d57e98c5214a
Colleges,"$257,669.60 ",$656.38 ,Centennial College,President,2003,093e3c514a8d2c06b8f17064fa74004a659b0349008e1696f405a0c2d5e23e3f
Colleges,"$103,003.14 ",$211.93 ,Centennial College,"Dean, Access & Academic Studies",2003,b73643aad115e7f2045e01ab7e4dd9d78a0088095e44311621001375ae412c4b
Colleges,"$105,389.79 ",$561.37 ,Centennial College,"Dean, School of Applied Arts & H.S.",2003,40c362e120ea9e56e9f8e85b2ad43d7f5e3f5d2dea8d24037745016b3cabe88b
Colleges,"$106,607.95 ",$229.09 ,Centennial College,Professor,2003,9e1fd051b450f3d3b380303d86afe0028e11d8b85799ff406cfb30ca27613612
Colleges,"$103,935.68 ",$587.67 ,Centennial College,"Dean, School of Engineering Technology",2003,b0b8cf887cc88bbe82325c070949220c40207feddf9478c1d2310e25ba4e2388
Colleges,"$158,095.42 ",$768.15 ,Centennial College,"VP, Innovation & IT Partnership",2003,b68eaa4ca887af8cab2bf314cce99b78d9ea988c9132fdbcbd8e6ce27af00bc6
Colleges,"$148,195.70 ",$253.33 ,Centennial College,"VP, Administration",2003,fa400be42e688a91f9b229dbcc29fa0b7c6c3bc99d856188bbc0fb27d1f61093
Colleges,"$104,842.48 ",$553.16 ,Collège Boréal,"VP, R.H. et croissance organisat.",2003,2a5cc0d2ae286150f2e0a9d7f61e4a1211bea9f932cfe31b82a2ea486c0d25e8
Colleges,"$104,295.99 ",$545.83 ,Collège Boréal,"VP, Affaires collégiales et comm.",2003,64de93940cf46bd6191161fe677a01137489188144c087b66453add087c27ec2
Colleges,"$183,626.58 ","$2,219.90 ",Collège Boréal,Présidente,2003,bbc4a5e2c88898782a3d1f62550c50be083021ad9792542e40a6bce8de865b54
Colleges,"$138,837.09 ",$603.65 ,Collège Boréal,"VP, Investiss. et dével. stratégique",2003,5fde2ca9cfdfc87a540b1611a9920e1c7acdd009bba970b12a443a0fa47f269e
Colleges,"$120,498.42 ","$1,114.90 ",Collège Boréal,"VP, Les Entreprises «Boréal»",2003,e344e89f2d639aa25963a2b312d3ce983d1110ca4a7236f8a7c580f97fe00a0c
Colleges,"$110,541.57 ","$1,895.80 ",Collège Boréal,"Vice-président, Centre-Sud-Ouest",2003,6a5a4994f719c3db120f80a6a11e39dbc08357f0637b02c9ee0848c7190d6fe3
Colleges,"$102,005.71 ",$167.46 ,Collège Boréal,"VP, Excel. des prog./ srvcs d'appren.",2003,4b0c0209e01bb6e5d6b669115325dcb7b594ade69ea8e74131e153ee61939949
Colleges,"$172,500.00 ","$1,049.12 ",Conestoga College,"Vice President, Academic",2003,f21c905478caea4fdfe5d2af0736aea2a49b4f001de6b2da23c7d87038ced4ce
Colleges,"$121,955.04 ",$599.54 ,Conestoga College,AVP Business Dev. & Applied Research,2003,5e3849a286eb0fb612b354251b81d6868d04a3f9b71a3e65a8b9ab837646c5e4
Colleges,"$108,171.46 ",$291.89 ,Conestoga College,"Dean, Technology/ Information Sprt.",2003,b361de6a87f073c078b891bcf4f848eb4a3ab2d55ed43f310b520f41da92ca9f
Colleges,"$121,000.04 ",$593.78 ,Conestoga College,Chief Information Officer,2003,bb2f27ff4f599fb8c19e986d08004cb0b2063331aafd95bf220461a5e02de7d2
Colleges,"$105,744.26 ",$406.87 ,Conestoga College,"Exec. Dir., Strategic Proj. & Registrar",2003,3f4528046c9b20e704923d7ac3636b1a6e29c226fc105595f4928eb2437e74ad
Colleges,"$120,999.99 ",$437.82 ,Conestoga College,AVP Health Sciences & Comm. Services,2003,7357030291261e58a1ce8bda5568c5944e7529b5876b95660c6759d78fc645c2
Colleges,"$107,568.45 ",$181.88 ,Conestoga College,Professor,2003,86d305fe0c1b6e0d9af5f58cec65f83b6471478c0641972f1c057f3ad06ae71a
Colleges,"$100,298.02 ",$484.33 ,Conestoga College,"Executive Director, Human Resources",2003,d352262503b3fa8f6df00ec2130dfa0666bd2c2458527c9a372f81617b6e737d
Colleges,"$120,999.99 ",$437.82 ,Conestoga College,AVP Engineer. Sprt. IT & Trades & App.,2003,d462a67eeaf0ebad13fb61150f22b5d924d6bf3c409dac7cc253fb2f1c192d02
Colleges,"$104,105.95 ",$522.30 ,Conestoga College,"Dean, Liberal & Media Studies",2003,512e5f2f66e9969b21bbf579d17f69e5c8826380bfe4c26d59f010afb011c500
Colleges,"$138,242.77 ",$677.17 ,Conestoga College,VP Finance & Student Services,2003,b26384b068b8f7c7520527e9cfaa355086ceb4934c2f7beae789c90323fa3aac
Colleges,"$103,779.52 ",$505.73 ,Conestoga College,"Director, Physical Resources",2003,91bfc24162f277c6a4d958ee5f2573099e2336c2c5e1bcaf34af0a54abfaed87
