Sector,Salary Paid,Taxable Benefits,Employer,Position,Calendar Year,ID
Colleges,"$105,418.69",$161.75,Centennial College,"Manager, Co-op Edu. & Employment Res.",2001,db484ae569614543a1d240fae7e775756757c856e9215dff2e546f2b4afb3bbf
Colleges,"$118,720.16",$839.51,College Boreal,Pr�sidente,2001,c438def1385cc87d46b1ba1dbcc1d89284bf180e635c8b6b06b409b70226f87f
Colleges,"$104,720.61",$219.40,College Boreal,"VP, Invest. et d�v. strat�gique",2001,5fde2ca9cfdfc87a540b1611a9920e1c7acdd009bba970b12a443a0fa47f269e
Colleges,"$111,957.10",$173.29,Conestoga College,"Dean, Information Technology",2001,b361de6a87f073c078b891bcf4f848eb4a3ab2d55ed43f310b520f41da92ca9f
Colleges,"$108,419.65",$151.80,Conestoga College,Chief Information Officer,2001,bb2f27ff4f599fb8c19e986d08004cb0b2063331aafd95bf220461a5e02de7d2
Colleges,"$101,291.24",$185.36,Conestoga College,"Dean, Health Sciences & Comm. Servs.",2001,7357030291261e58a1ce8bda5568c5944e7529b5876b95660c6759d78fc645c2
Colleges,"$100,610.49",$197.39,Conestoga College,"Dean, Academic Research & Educ.Servs.",2001,00a4bf7ccd5c46b0a14e0290eb7449121604e1df134207473c7ce9e6a2002579
Colleges,"$113,491.88",$145.53,Conestoga College,Professor,2001,4f6eeba5c09e1b0726d30fb83059a1537516f8a369731e1b78d25c95d11b8bc3
Colleges,"$118,427.46",$227.63,Conestoga College,"VP, Finance & Corp. Performance",2001,b26384b068b8f7c7520527e9cfaa355086ceb4934c2f7beae789c90323fa3aac
Colleges,"$100,381.53",$181.31,Conestoga College,"Mgr. HR, Council of Regents",2001,ee9d4e10483565958ca7e27777bb7eeaf7f022de032a358c6534071f8492f037
Colleges,"$109,681.01",$209.73,Conestoga College,"VP, Training & Development",2001,32a0aefdc252921b4dd2a840228bf47830c365edfbd3173a243a170b61d48122
