Sector,Salary Paid,Taxable Benefits,Employer,Position,Calendar Year,ID
Crown Agencies,"$112,710.21",$439.08,Independent Electricity Market Op.,Exchange Coordinator,2001,422d9155cdc380d8b3188beef99fd86b61c97cc578e152c4904b13387a3cd015
Crown Agencies,"$102,153.29",$474.84,Independent Electricity Market Op.,Engineer / Technical Officer - Settlements,2001,c43275fa2811367a20597604232a6e45143079cd45e877c02c9614dc44385c71
Crown Agencies,"$129,432.15",$505.44,Independent Electricity Market Op.,Shift Superintendent,2001,e399c048170392c3b83624792bc42cf8897c4a966e5dc465c03b0c616ecfd5d9
Crown Agencies,"$154,894.83",$423.84,Independent Electricity Market Op.,Engineer / Officer - Solutions,2001,7f564a3c411e6e96c8e6c8b5280d2aadb08079ae742209d5e6f7274dc17538af
Crown Agencies,"$117,089.11",$467.64,Independent Electricity Market Op.,Exchange Coordinator,2001,6332e381654e84d447493bc66e96b4c302795bdf6ace329e9daa9672adc4fddc
Crown Agencies,"$126,189.88",$485.04,Independent Electricity Market Op.,Exchange Coordinator,2001,81f414798961513be5978fd9eda795cce5355ee7453108ed84283710595b808e
Crown Agencies,"$118,076.51",$518.64,Independent Electricity Market Op.,Senior Engineer / Technical Officer- Customer Support,2001,a78a99dedb1b529fd43aee5a1d4b649994ccb4df29b33faeebf114d9a91cccd5
Crown Agencies,"$103,529.02",$493.08,Independent Electricity Market Op.,Chief Meteorologist,2001,b849ab19fe0dbd0455567d90eba89b214590f74cb17b515a04f8c09c3245ad6e
Crown Agencies,"$100,831.28",$397.44,Independent Electricity Market Op.,Section Head - Information Management,2001,849d1d148d33e0ca89788c0d12f57208da55e773c5d1a867f12868615f370b71
Crown Agencies,"$100,572.03",$464.64,Independent Electricity Market Op.,Corporate Policy Officer,2001,a187ed4e185c93d9e85827e02592ea6a96778e2819a125b0ccbdac5b50aa11b1
Crown Agencies,"$285,487.17","$1,008.48",Independent Electricity Market Op.,"VP, Market Effectiveness & Evolution",2001,16607922e2ed48a29158fde6a23f2abd2e627c48d98742a68fd35ea30614e0b3
Crown Agencies,"$124,093.69",$253.44,Independent Electricity Market Op.,Manager Operational Audit,2001,2b5c8e8dc0a303ea880dcc268dd234bad913ad8bbb5d7a1e704c4e2bd82b357b
Crown Agencies,"$112,133.31",$421.68,Independent Electricity Market Op.,Sr. Engineer / Technical Officer Ancillary Services,2001,32f5fd2f68b008df34ad6974351430f1fb670714b0eec7f72faa0d4a5a0cc3b5
Crown Agencies,"$105,538.41",$356.40,Independent Electricity Market Op.,Engineer / Officer - Systems,2001,4160a4b96c4f8eb174fc82b65b5b28f423e1f49c53495adb74658c202c89820c
Crown Agencies,"$109,424.33",$431.53,Independent Electricity Market Op.,Exchange Coordinator,2001,c2f0ba6572e9174482ad9e1660b851602c82759d990761ad414b5b6bc6837595
Crown Agencies,"$106,761.08",$428.88,Independent Electricity Market Op.,Engineer / Officer - Shift Control,2001,4cf3ad319806eeca490c9db03c5197867b1a4a3cf570204002676cc67e8215f7
Crown Agencies,"$108,054.43",$495.24,Independent Electricity Market Op.,Team Leader - EIE FStr,2001,5ee871f5c1a288b614aa89708061eaacbc5078eaf78d5b4d35591667a8175174
Crown Agencies,"$129,934.65",$469.80,Independent Electricity Market Op.,System Architect,2001,9c3fe70c035ff3ad50e4c225e35cc279d39ff93fc1a9334c9d6681a4e06dd77c
Crown Agencies,"$120,994.79",$525.01,Independent Electricity Market Op.,Supervisor Training & Education,2001,37b2fa1fdde207aa95ce247f6bb43459c14813991bcbcd0122ca80c2b039f2ad
Crown Agencies,"$106,891.59",$493.08,Independent Electricity Market Op.,Senior Engineer / Technical Officer,2001,7a2e6e63c257d9e4a1770801721dfe96014178ece89fad56429f7545224a2574
Crown Agencies,"$127,678.21",$488.04,Independent Electricity Market Op.,Section Head - Systems Limits,2001,320f225a60189e383e90a7fe5f4ab6ac936466986fa74bc39da52994077a8334
Crown Agencies,"$100,261.64",$406.32,Independent Electricity Market Op.,Assistant Exchange Coordinator,2001,69aee19e677df8d359f60827e310256cd757a1132a843943d20b2aacc89b0a5a
Crown Agencies,"$116,534.07",$411.48,Independent Electricity Market Op.,Exchange Coordinator,2001,ffcd619d30ad2436d9b0bcb04e1c5acb62c277f5e9c3012e202431c980681751
Crown Agencies,"$104,488.22",$474.84,Independent Electricity Market Op.,Supervisor Engineer / Technical Officer,2001,f0f9d84425cf4ee52ee185177c2953ac2b82ff256100a991ecf58b969778bdc3
Crown Agencies,"$140,314.40",$707.76,Independent Electricity Market Op.,Treasury Manager,2001,fd86e31bacc0c7f1f9644d94c318755c5fdc457babae6fc7a13c4c90a3cf1212
Crown Agencies,"$102,934.40",$480.00,Independent Electricity Market Op.,Meteorological Data,2001,33c6b4586c8c4199deb92ef3e4fed089329439d521e99e5ef026025f3fddb3f0
Crown Agencies,"$110,645.90",$421.68,Independent Electricity Market Op.,Engineer / Officer - Shift Control,2001,1c65440671ed1b97e68f86d21004a454a10431585f65aeac22d72f8c504d4a50
Crown Agencies,"$159,169.77",$900.24,Independent Electricity Market Op.,Manager Market Facilitation,2001,d086534066c683da105592a10bee8ab620bbfe65f84108832a5eef77319d7883
Crown Agencies,"$112,364.95",$382.32,Independent Electricity Market Op.,Section Head - Infrastruc. & Auxiliary Serv.,2001,2e7f108283c24953e39f1ab6fea4e526239eb8d91777ad2224ffe18e7c16a5cc
Crown Agencies,"$179,949.02",$814.32,Independent Electricity Market Op.,Market Design Manager,2001,6ea9b1afa10819ddda2b153891358d8cbb8da481111dd8b414309750efbef6c1
Crown Agencies,"$168,896.83",$971.52,Independent Electricity Market Op.,Manager Regulatory & Government Affairs,2001,4c6c019d0e13fd0617d253545013787b3670ea1a8091284fc9128ef7f3fdebf9
Crown Agencies,"$110,155.05",$372.90,Independent Electricity Market Op.,Engineer / Officer Telecommunications & CN,2001,7b3d95cfbd020f8135f1d5b21e6c43f1fffb4e266465aa2a88cf5b91df15ae2d
Crown Agencies,"$126,406.56",$449.28,Independent Electricity Market Op.,Senior Engineer / Officer - Solutions,2001,437aa61492b4c6d2b57b67dfe746c3f38e6a15798e27a5f4e8889bffe874937c
Crown Agencies,"$104,358.85",$202.90,Independent Electricity Market Op.,Supv.Engineer - Wholesale Sttlmnt Metering,2001,28d6ad2820384a714f163178f141eeeb27adcbda2dda04f36aed54c400e838c8
Crown Agencies,"$189,541.93",$997.92,Independent Electricity Market Op.,Director Settlements,2001,93fa5a7c28a50dec32b33782659201268998890b50419a6d0422e491a2cd0f6a
Crown Agencies,"$186,152.82","$1,036.80",Independent Electricity Market Op.,Assistant General Counsel,2001,2dfe52c27ad3b0f225cbb8a333985c078bdc9320a06e713fdc3efc1067acf2a7
Crown Agencies,"$116,524.15",$525.96,Independent Electricity Market Op.,Shift Superintendent,2001,e8c89afada91f7eb32d2c922fd4c460156db4adddca9ba145646a5db5de9963b
Crown Agencies,"$111,646.70",$396.12,Independent Electricity Market Op.,Assistant Exchange Coordinator,2001,8b869d0f3f9950b983b4a2f56605ac301ee5b329a248ecf61667c2e48e119675
Crown Agencies,"$102,953.58",$380.76,Independent Electricity Market Op.,Engineer / Officer - Shift Control,2001,6c1d5bb74807bcea4855c806a5063f5f72ed8b0ed65d0556b81d2f5bcc3d92a6
Crown Agencies,"$108,951.53",$444.60,Independent Electricity Market Op.,Engineer / Officer - Shift Control,2001,25f21de5335300fa89f6a19aae7ba1522179ec55f136879518d10a061f73af31
Crown Agencies,"$106,071.22",$477.84,Independent Electricity Market Op.,Section Head - System Limits,2001,bea3cf16510c62019cbb582d37d7ce9c12789e1b5dc0112bdd363d457a35bced
Crown Agencies,"$145,823.37",$852.72,Independent Electricity Market Op.,Manager - Consistent Information Set,2001,067c861be39c1482e9ae4f3b4a2803532909557f4d2cefbdc451d008a4741443
Crown Agencies,"$190,566.02",$628.80,Independent Electricity Market Op.,Chief Financial Officer,2001,0040cf1220eff7683b1254667b6c708d5322c5a6f184e52aab0fd7e6bd4a66a5
Crown Agencies,"$190,784.63","$1,034.88",Independent Electricity Market Op.,Director Human Resources,2001,907285839f2d8f1c8bcc915b1b602a28f223cbe90a8c05a295263a77b490da39
Crown Agencies,"$101,523.06",$396.12,Independent Electricity Market Op.,Senior Assistant Exchange Co-ordinator,2001,42652a971a081486aa521941c10875e8315fd4d4f88b38f815c17a320a7dd957
Crown Agencies,"$104,625.74",$452.28,Independent Electricity Market Op.,Senior Analyst - Surveillance,2001,1f0587380ee6ad78531cfbe0e715e0389460836423f90ab899f9a7bd20dded88
Crown Agencies,"$143,514.72",$421.68,Independent Electricity Market Op.,Power Billing Systems Analyst,2001,529fbf7559136f39cbdfa21c9f5c761c8983230d433e7adaa2c3b22d8fe300ca
Crown Agencies,"$110,780.41",$329.76,Independent Electricity Market Op.,Engineer / Officer - Database,2001,5e1e32261f38bd89281bfa44226759d0d53e65bb8a998830d1c163d1f298f8e9
Crown Agencies,"$125,094.83",$474.84,Independent Electricity Market Op.,Exchange Coordinator,2001,95309eebdf789287602fc88127b67fdd925444d0ef60aafb39e8a20c3763748f
Crown Agencies,"$107,832.59",$411.48,Independent Electricity Market Op.,Exchange Coordinator,2001,957c95bb120d78cb725ec1b87e361788c4abffaf8036e6a74630b3088914932c
Crown Agencies,"$141,827.91",$539.04,Independent Electricity Market Op.,Manager Operations,2001,9a5e2bcd689e3f6af1a52e904d6d4f020d4fe2ca9abdf5bac8f519687f09caac
Crown Agencies,"$100,807.65",$436.92,Independent Electricity Market Op.,Senior Human Resources Consultant,2001,5ae6a8894073a63a1e00e91b1b21c9602ffef97041bdb959da8f8dd0b93a816f
Crown Agencies,"$134,391.84",$536.16,Independent Electricity Market Op.,Shift Superintendent,2001,1ccb15ff6da524c9a24cc8be7cecdc5e8733b8145942ab4b2af411049fce9b49
Crown Agencies,"$127,400.30",$510.60,Independent Electricity Market Op.,Shift Superintendent,2001,7c770bc456515fd6447ba8fd7876103c6e333880164faacc82b5c0bf3c5dc5f5
Crown Agencies,"$105,837.13",$369.36,Independent Electricity Market Op.,Sr. Engineer / Technical Officer - Market,2001,555f7cdb7cf8e7c4fa03d06af80ca66daf94dfb2dc6120d011270ef8bd38fc04
Crown Agencies,"$156,288.75",$293.04,Independent Electricity Market Op.,Manager Settlement Support,2001,17968ce5aefc3cddcdfb5f3465371d1b8aba2888dfbfcab2d233b2a3578af410
Crown Agencies,"$111,437.07",$452.28,Independent Electricity Market Op.,Sr. Engineer / Technical Officer - Market,2001,11a8e00d957a1997e055174b388b8294e1f47e7f9802e85c00e3348da5982021
Crown Agencies,"$101,983.11",$452.28,Independent Electricity Market Op.,Operations Analyst,2001,7803fe7dfc4b6d8faccfa4de6be128a3c9cc277308f068826de8a7f1c22ddb7a
Crown Agencies,"$102,984.80",$428.88,Independent Electricity Market Op.,Sr. Engineer / Technical Officer Settlements,2001,86fa9465b1fc8ee560a4e6d939a9edaa29f915a58a96405daf39875ad373bfb9
Crown Agencies,"$102,010.75",$413.64,Independent Electricity Market Op.,Senior Engineer / Technical Officer - M&D,2001,8648dbf2d15a1de8f7b60b100a41909d3712e2907b58549ad7537ecd44efe6e1
Crown Agencies,"$109,775.68",$436.92,Independent Electricity Market Op.,Section Head - IT&I,2001,ecadd3c95dfb9c91c75d5ec877b4fa9108a96d6d37498a5a030613ff067cdccc
Crown Agencies,"$113,220.94",$421.68,Independent Electricity Market Op.,Engineer / Officer - Systems,2001,2acd89afac1bba7ea9906b1fa50a88fedbc3eb8c020d3e8f8efadedf3500ad0a
Crown Agencies,"$134,780.33",$444.24,Independent Electricity Market Op.,Senior Engineer / Officer - Systems,2001,71d9561a645db23fbb7ee83a527fb7c31d36235368a3331d9bece305a2a97eaa
Crown Agencies,"$137,235.61",$561.60,Independent Electricity Market Op.,Shift Superintendent,2001,a68aa07f1051f29a314cc1ad28cc82fde62aa875be9d46cb330f6d7d415dbdb4
Crown Agencies,"$124,476.98",$417.66,Independent Electricity Market Op.,Market Relations Consultant,2001,b4198d40743901144c6157ef594875818275b6be910d9a33f9728275ac339e52
Crown Agencies,"$105,755.35",$277.12,LCBO,"Director, Human Resources Development",2001,6bc17bad92de5f31af7a365268dfd8cb4cfc24d0b51a0ec8257d14d1ba038729
Crown Agencies,"$136,146.41",$344.07,LCBO,"VP, Store Dev. & Real Estate",2001,86dd60318667414715238382cbdcbea31970082ea1d0af617125ad62b1f56522
Crown Agencies,"$103,127.00","$1,505.36",LCBO,"Director, Eastern Region",2001,826af44297814c4ee62ff0df67faaefe7fdb7ccffdfb0c0a5e475c33c8240586
Crown Agencies,"$140,923.17",$161.40,LCBO,Chair & CEO,2001,08beea2142bfa29e10b5fab2837395214cda931d375ec9cf2bb0ef76f2686bbc
Crown Agencies,"$169,919.48",$394.58,LCBO,"Sr. VP, Finance & Administration",2001,ff42011a4bc8283a6e3ba13faf572048ea306b22d416dded794ecc6e738d4b81
Crown Agencies,"$129,836.22",$325.94,LCBO,"Director, Human Resources Services",2001,e429bec4c716b0e45bf4fff636c56e87e54efc45b1bf7f6a4cc2dc154c91c536
Crown Agencies,"$133,797.07",$343.16,LCBO,"Category Director, Wines",2001,2bf0a6b4b91b100e4da3b1e171e98f547028c1bc1daa4000d5d213acc2eab105
Crown Agencies,"$135,954.41",$343.16,LCBO,"VP, Marketing Communications",2001,3baaf23076565cac238fcf67a82113196f64687ffb0e5f2220b4abab6510332b
Crown Agencies,"$101,058.13",$216.84,LCBO,Sr. Systems Analyst,2001,ac6b07578d8bd3ac828aaa206afba74022633830bd6ce1f128648cc62055c2a1
Crown Agencies,"$111,857.47",$285.37,LCBO,"Director, Customer Insights",2001,1be91a67dd79691b6bbeb38eaa62663bcc842998f33355a7da0c99ca9f9e9168
Crown Agencies,"$143,580.31",$368.12,LCBO,"Category Director, Spirits",2001,52e431122fd4e70e3100f77474ba9af90360d57ea651fa7f97a722a4d914cdab
Crown Agencies,"$134,286.59",$326.70,LCBO,"Dir., Fin. Planning & Economic Dev.",2001,3bcad0b7c89c1aa707a038d02c85b7750e514433fa73c405b396c176215e8a96
Crown Agencies,"$135,878.72",$346.93,LCBO,"Director, Central Region",2001,f0b66f857c68e1bce6c363cd725b4822a958dfc4f4962e2ad0f79c8021a136be
Crown Agencies,"$122,726.83",$321.35,LCBO,"Director, Wholesale",2001,ef0241f5b1894b2fb9f904965d8c453c056f711c52b1af5790c3a00fb7173749
Crown Agencies,"$135,723.05",$349.61,LCBO,"Director, Western Region",2001,dc0a0242277f88c94ead8a28e980b904a7f3f962433f6c2570ec5c72a3d2b8fb
Crown Agencies,"$169,919.48",$394.58,LCBO,"Sr. VP, Gen. Counsel & Corp. Secretary",2001,7742662736db5041bbe7d7e80bc4281b1d4073511c465fa9715027f7b110613c
Crown Agencies,"$140,628.67",$298.76,LCBO,"Sr. VP, Merchandising",2001,06771dde9cebd85520fb82ad10272ef3fc3bf13f7b9d87cb5bb0a8b16c17ef36
Crown Agencies,"$247,715.93",$548.22,LCBO,Executive VP & Chief Operating Officer,2001,4b467ada57b4eead8e8a3dc2b23687ab912cd13074aa11cfca4dc97fb1d223b7
Crown Agencies,"$104,128.81",$292.84,LCBO,"Director, Traffic, Customs & Excise",2001,faad6c3e7ce559654707c6066594c0c552bb3cb434dad89da19e581439f7d2b4
Crown Agencies,"$123,189.22",$326.70,LCBO,Solicitor,2001,b2d69af2f17d52534a4c7566b2b37c543af6e9bc29979035ff3ab69f27187026
Crown Agencies,"$109,796.87",$290.25,LCBO,"Director, Traffic, Customs & Excise",2001,6e05254338d59bc3e028741165839b1575d70dc2bf9f9e79b8f684c4d43e53a0
Crown Agencies,"$112,624.13",$305.75,LCBO,"Director, Customer Service & Admin.",2001,8d79f049b4eeadc5f271823f7c4750cee99ecc4e91217cf55c60a8261dc5b1d5
Crown Agencies,"$120,472.29",$319.51,LCBO,"Director, Application Systems",2001,74fb74a15fd986b278ffaedd215330d64ca8c99d6266417817df2b195e3cb2a3
Crown Agencies,"$169,919.48",$394.58,LCBO,"Sr. VP, Human Resources",2001,765215db29a9eb8db9f9946244fb54a535833e28b37053c46b1ab95ed36529f9
Crown Agencies,"$169,919.48",$394.58,LCBO,"Sr. VP, Information Technology",2001,ef572c8ab6b13c7fca336a4992540192f31d53284cdb154a37246732626c95fc
Crown Agencies,"$135,954.41",$344.07,LCBO,"Exec. Director, Corp. Communications",2001,b08197b550b5d736413f93c000c16ab112b2bac5c193faa27233975d4706f89b
Crown Agencies,"$129,836.22",$326.70,LCBO,"Director, Corporate Policy",2001,f65233f09c3c491f00219a0ac528d88d56fcf03f41b96694014646d7b6b35f34
Crown Agencies,"$100,245.62",$215.25,LCBO,Sr. Systems Analyst,2001,d21480d19562d5202b26aeeadcbc96831521f83791e94bf10db7ecc11c7e6797
Crown Agencies,"$104,447.54",$277.12,LCBO,"Category Director, Beers & Sp. Markets",2001,9b1833bc135d14979e1ebdb3a449188c25c420201d253bff127733593b75daf1
Crown Agencies,"$124,587.24",$326.70,LCBO,Controller,2001,36dd5374a1bf3069b822bf28b85ab561f9f973bb1c7cf828574591aa1407d906
Crown Agencies,"$111,449.07",$283.18,LCBO,"Director, Supply Chain",2001,e7c443929545288b84d22816e77a5311d58518f0847fe8add3af2e9c36bfcd69
Crown Agencies,"$127,273.22","$1,125.70",LCBO,"Director, Northern Region",2001,e44762651811e4f0c4adfabe8130488c141357f4efdd20d611f526aed608bf9d
Crown Agencies,"$167,455.46",$394.58,LCBO,"Sr. VP, Logistics",2001,ed5ed4ce5c0c004c9a186d153e7724b89b6c978fc339e6301cb544e2021ade43
Crown Agencies,"$103,161.37",$216.84,LCBO,Sr. Systems Analyst,2001,ee5379c0a730a0f4f8d029b99688273dc3307dad1b6270903dab9f5019a501a4
Crown Agencies,"$103,686.53",$208.28,LCBO,Solicitor,2001,7d3a79bcd472e69fc66aa4458ce5840658c9a68ac80770302cffd7f839a9415b
Crown Agencies,"$104,326.99",$277.12,LCBO,"Category Director, Spirits",2001,e2807c23958fcb4717751b616949ecee0e29f0b6d853160c166270cc2af42707
Crown Agencies,"$132,880.90",$323.39,LCBO,"Director, Conventional Warehousing",2001,6509811594ec8203ac1887303827eb701fc404ee16a5107ed8f2ab759afb59db
Crown Agencies,"$113,451.87",$286.03,LCBO,"Director, Corporate Affairs",2001,073181f2b7d33066d076f2d065ae3f7b21b957932bc1650be3662b565f260e52
Crown Agencies,"$113,039.79",$284.05,LCBO,"Director, Durham Facility",2001,15b75d594f44b190b21c66f5881c4ed792ff7dd8d274698fd572c288c2482af4
Crown Agencies,"$128,752.10",$325.94,LCBO,"Director, Application Systems",2001,75ab339121bd558a9e3bf0f994fc1c6e4ea1bf545cf488a8647eff8f6a25b5ee
Crown Agencies,"$118,487.90",$318.77,LCBO,Solicitor,2001,2b5b6b00077e7acd864a86975cc24d8632c789bb8df71923d961f15403d7f90d
Crown Agencies,"$169,919.48",$394.58,LCBO,"Sr. VP, Retail",2001,4229fa379a3d4c66ec0a8fe374127a59a6f9e0e45d7c35a76208d498e50d0023
Crown Agencies,"$127,984.66",$308.35,LCBO,"Director, Quality Assurance",2001,a97a0a2bb8cbbb81f7ea2789ed82df436023e5c30839f507f28d7e7c78ad84e7
Crown Agencies,"$111,857.48",$286.03,LCBO,"Director, Strategic Planning",2001,69bc28922c5e0e2bb7ac42a38f9f20df60f8123b3508688a15e03fef3db25937
Crown Agencies,"$113,655.48",$286.03,LCBO,"Director, Loss Prevention & Security",2001,ac2fe24eced4f8682b113e3221af0d06a47a4a1de8f9999dec658f50284dc713
Crown Agencies,"$103,127.00",$501.36,LCBO,"Director, Western Region",2001,6d3f8076b19d9a18966d851cc8c738027a49740d9fcbf6b83096c24a0915d7a2
Crown Agencies,"$106,190.18",$277.12,LCBO,"Director, Compensation & HR Admin.",2001,b1bc9b4424997e74421b91c76c917bc389808b45e130924bfc53745b1557ec44
Crown Agencies,"$118,179.73",$300.34,LCBO,Treasurer,2001,867e49c82fea1aa8575c549c0e9fdcc41c6d07f9545626e6f1d0e65e52ffca8d
Crown Agencies,"$135,955.43",$343.16,LCBO,"VP, Vintages",2001,8a597fd0080efe43af796b7b830b59bb4c84ba8842bf6e59a2a9012ed831a02a
Crown Agencies,"$111,857.48",$286.03,LCBO,"Director, General Audit",2001,8fdd8e69fd3152a4ce0a5575bf0f699b130c626969a405af734704be36fbbaec
Crown Agencies,"$127,273.22",$325.94,LCBO,"Director, Employee Relations",2001,081362174142362ad53904db377ee6d0dfd1b7dffc5e44d3bcee00e12d8eb074
Crown Agencies,"$123,153.36",$325.94,LCBO,"Director, Info. Tech. Infrastructure",2001,bad29a3e0e458289f7088ca837e378ea3cf3d9e8847484d24eaaa38232948095
Crown Agencies,"$104,689.14",$258.54,Licence Appeal Tribunal,Chairman,2001,4a9e8796960736ae1a9e15c3d98caaad7de6e570804820efd691cfdcdaead50d
Crown Agencies,"$150,000.00","$6,491.12",Metro Toronto Convention Centre,Executive Chef,2001,74f1266d38a3124d466da326c9f2e624c0de396b24b3df3c85d6fa1b8c886c54
Crown Agencies,"$164,500.00","$6,720.54",Metro Toronto Convention Centre,"VP, Sales & Marketing",2001,aa0966a7f75c68bd0d67162ec13891129d25b2bfbc8884b0afbefa6e315ceabb
Crown Agencies,"$147,558.00",$544.44,Metro Toronto Convention Centre,Director of Catering,2001,069c67c30818766ece2aa83bbf7948f24362aaaa0c30d7106bababdd403190ee
Crown Agencies,"$115,062.00",$400.48,Metro Toronto Convention Centre,"VP, HR & Administration",2001,88c76323151a7c3612ac8ab64ac6e4c406542f33febef585a4cc7d9e0d1f5a02
Crown Agencies,"$145,000.00","$5,176.75",Metro Toronto Convention Centre,Food & Beverage Director,2001,2415f8b601a0e80be841a07e8543b1e6a5f2c46dcf6b6c393d59b1810594ad51
Crown Agencies,"$297,615.00","$11,758.84",Metro Toronto Convention Centre,President & CEO,2001,e70baffcd564d2c91e41255caa5db3e3737c57885c98efde14203cc72b8a4762
Crown Agencies,"$189,002.86",$376.47,Niagara Escarpment Commission,"Director, NEC",2001,8b889fbec9d4c0746c8e85e70b1965f737113f9dbb31828a6455ab1ab1b3c015
Crown Agencies,"$120,432.64",$291.38,Niagara Parks Comm.,Ass t. General Manager,2001,f03c1d20eec065e4406a9ec05939b6480950e3af2610ed1f4fa761120c937488
Crown Agencies,"$131,114.81","$8,717.04",Niagara Parks Comm.,General Manager,2001,b29b967e57593fb62c0267bee7cbe96962777efaac22214e90d2b682076e4a73
Crown Agencies,"$102,838.25",$248.48,Niagara Parks Comm.,"Senior Director, Community Services.",2001,450fcb9150406b4a3a376e322f1011d3f7ec4bf249a75a9a6382f28974ebf2c3
Crown Agencies,"$100,898.84",$248.48,Niagara Parks Comm.,"Senior Director, Marketing & Bus.Devel.",2001,2c13f506176581137ebe94552e794a28f2d580326526551024d3206b473f03a1
Crown Agencies,"$102,838.25",$248.48,Niagara Parks Comm.,"Senior Director, Technical Services",2001,432836add7858439d7c17331f399f2e08734e28eaa35d5f898964a62cf3b2b5a
Crown Agencies,"$102,838.25",$248.48,Niagara Parks Comm.,"Senior Director, Retail, Attract ns, Heritage",2001,642ca573b0116ee4ae25b5a5209d49e977a361bb7f1b0585c50a9a1e9926e998
Crown Agencies,"$102,838.25",$943.98,Niagara Parks Comm.,"Senior Director, Food Services",2001,3272915f164ca177c71a59b988480464e63116ad78c514e4553cbf284b0d4e92
Crown Agencies,"$145,000.00","$8,400.00",NTMC,CEO,2001,9fc43914247228824e53a8f3f381c1e2ea40e888b3d3668173d3df497b386fe4
Crown Agencies,"$177,872.20",$363.03,OCWA,Corporate General Counsel,2001,4a5c162fac56d2d6b34f5bea1262bcf70af232b8866e81e8a134227f04b53757
Crown Agencies,"$150,040.14",$298.29,OCWA,Assistant General Counsel,2001,b62330c7482858569870c7dc5245f45921e9e0197c5ebca7ff7b16e9144702f8
Crown Agencies,"$101,190.12",$242.05,OCWA,Chief Information Officer,2001,d815a3d0f38f830fd14e392a4e87580d81772ff4275a1553e064408766186e1e
Crown Agencies,"$109,473.28",$217.30,OCWA,Legal Counsel,2001,891dca7557e2585ceb6a7f07ce711184eea1e6a04c6b044dc4fc2836252e60e6
Crown Agencies,"$154,148.80",$330.99,OCWA,Chief Executive Officer,2001,4a503294b26c3bef37c08d7f056fc1d07edf6258d06a39e203a10868522261e5
Crown Agencies,"$110,077.04",$252.86,OCWA,"VP, Finance & Administration",2001,486063258acb94e28b68441a84dfc11849a0e98edc4627f34c3d26e130ffdc20
Crown Agencies,"$175,529.99","$1,237.04",OEPSC,"Portfolio Mgr, Fixed Income",2001,7d9351a4cc0f737b37bd6e2aae3468faf051d87c548a52b95652794b51bf2ce8
Crown Agencies,"$231,649.00","$1,540.20",OEPSC,"Mgr, Real Estate & Special Situations",2001,e2a110886406e97ae198f64076994cb62a422ef50c8a41b6e5587651bc7894ef
Crown Agencies,"$172,745.12",$505.56,OEPSC,"Portfolio Mgr, Canadian Equities",2001,59e0284c0ea95b894c5b2c9ec31a27008725aeb22b6ae8ecf3cc0bcf87dd577a
Crown Agencies,"$248,795.00","$1,326.80",OEPSC,"Sr VP, Finance & Administration",2001,37c5541cb552ef778fc2bc0e4bec2a3e87e251fb83aa160c19d37275a2a6029b
Crown Agencies,"$175,529.99",$505.56,OEPSC,"Portfolio Mgr, Fixed Income",2001,62eb49785c712a3fce137f18666243016fda49b8d66c8acc6334745ca59ab6d9
Crown Agencies,"$248,795.00","$1,540.20",OEPSC,"Manager, Fixed Income",2001,492f5a733acbf32a1f771224242d324c0b067b2249e5eea6cb2b2e8d1da89e55
Crown Agencies,"$248,795.00","$1,540.20",OEPSC,"Manager, U.S. Equities",2001,f20e560fcc8e31d37492c9a27bc95b561c0eea0765c17c3acb7a2f1024f1771a
Crown Agencies,"$395,724.83","$1,692.00",OEPSC,"President, OEPSC",2001,0943a103f1481616e31a4afb7a82e9af3abaeb27a745bbd368df51814c05a5fa
Crown Agencies,"$112,250.06",$409.20,OEPSC,"Mgr, Operations",2001,a5bee89144104441548985d4a0219ff94b7d822b79d6470a55169454b0e31aba
Crown Agencies,"$170,954.57","$1,355.40",OEPSC,"Sr VP, Plan Administration",2001,3746be823938b442f3e7c3e93a2514a75aa3b3e6e9ea30d43019162627db3d4b
Crown Agencies,"$103,194.66",$254.85,Office of the Employer Advisor,"Director, OEA",2001,72605e477b2eeee803fc821e163f7e78d6fac3b26ebca9166fa1a97e845da51b
Crown Agencies,"$157,081.11",$312.78,Office of the Employer Advisor,"General Counsel, OEA",2001,bdc079f5069ffa8db1971bfd707df76f9d116dd642c0b49f2c6f449924bd90e9
Crown Agencies,"$108,783.03",$158.88,Office of the Worker Advisor,"General Counsel, OWA",2001,4955a4dc8cb9aaf9472b35fe907f2fddbedc13e7bf6c4504c5773d88a178e7e5
Crown Agencies,"$109,239.00",$329.00,OMERS,"Executive Co-ordinator, Corporate Affairs",2001,8b2128db62fd2b2747beaa621b10c1cc403385e85177fc4f439e321d895b0a16
Crown Agencies,"$162,392.00",$500.00,OMERS,"Portfolio Manager, Real Estate",2001,d8aa9ddcf3e9ba296bf34badc3bd96a223d5b25c96db6a29114817e1a00b3b2c
Crown Agencies,"$109,686.00",$463.00,OMERS,"Mgr, Invest. Perform. & Financial Report.",2001,ff4a0d5df69d226e55de436775c407834e4bcb05177be56fdb10303901d03692
Crown Agencies,"$242,733.00",$627.00,OMERS,"Senior Portfolio Manager, Core Fund",2001,e24004ad34bf1796b22051cffcd6cf4de7581af1afb4203ab0ea9ddee09489e7
Crown Agencies,"$170,940.00",$518.00,OMERS,"Portfolio Manager, Mortgages",2001,0703418a680baeab50a1241a19866232b0788024adf507d6653a0252f6da6934
